Quarter,Time,Down,ToGo,Location,PIT,TEN,Detail,EPB,EPA
1,9:56,2,7,TEN 36,10,0,"Zach Mettenberger pass complete short right to Kendall Wright for 14 yards (tackle by Jason Worilds). Penalty on Brice McCain: Face Mask (15 Yards), 15 yards",1.000,3.250
1,9:35,1,10,PIT 35,10,0,Bishop Sankey right tackle for 3 yards (tackle by James Harrison),3.250,3.110
1,8:50,2,7,PIT 32,10,0,Zach Mettenberger pass complete deep right to Kendall Wright for 23 yards (tackle by Michael Mitchell),3.110,5.140
1,8:15,1,9,PIT 9,10,6,"Bishop Sankey right tackle for 9 yards, touchdown",5.140,7.000
1,8:15,,,PIT 2,10,7,Ryan Succop kicks extra point good,0.000,0.000
1,8:15,,,TEN 35,10,7,"Ryan Succop kicks off 70 yards, returned by Markus Wheaton for 30 yards (tackle by Daimion Stafford). Penalty on Michael Palmer: Offensive Holding, 9 yards",0.000,0.380
1,8:02,1,10,PIT 10,10,7,Ben Roethlisberger pass complete short right to Martavis Bryant for 3 yards (tackle by Coty Sensabaugh),-0.380,-0.560
1,7:20,2,7,PIT 13,10,7,Ben Roethlisberger pass complete short right to Heath Miller for 19 yards (tackle by George Wilson),-0.560,1.070
1,6:41,1,10,PIT 32,10,7,Le'Veon Bell right guard for no gain (tackle by Jurrell Casey),1.070,0.530
1,6:01,2,10,PIT 32,10,7,Ben Roethlisberger pass complete short right to Martavis Bryant for 8 yards,0.530,0.890
1,5:26,3,2,PIT 40,10,7,Ben Roethlisberger pass complete short right to Antonio Brown for 4 yards (tackle by Jason McCourty),0.890,1.860
1,4:45,1,10,PIT 44,10,7,Ben Roethlisberger pass complete deep middle to Heath Miller for 23 yards (tackle by Jason McCourty),1.860,3.380
1,4:01,1,10,TEN 33,10,7,Le'Veon Bell right guard for 12 yards (tackle by Karl Klug and Michael Griffin),3.380,4.170
1,3:20,1,10,TEN 21,10,7,Le'Veon Bell right end for 1 yard (tackle by Blidi Wreh-Wilson and Avery Williamson),4.170,3.760
1,2:36,2,9,TEN 20,10,7,Ben Roethlisberger pass incomplete deep left intended for Martavis Bryant (defended by Blidi Wreh-Wilson),3.760,3.070
1,2:30,3,9,TEN 20,10,7,Ben Roethlisberger pass complete short right to Antonio Brown for 14 yards,3.070,5.830
1,2:00,1,6,TEN 6,10,7,Le'Veon Bell up the middle for 1 yard (tackle by Avery Williamson and Derrick Morgan),5.830,5.150
1,1:17,2,5,TEN 5,10,7,Ben Roethlisberger pass incomplete short left intended for Le'Veon Bell,5.150,4.260
1,1:13,3,5,TEN 5,10,7,Ben Roethlisberger pass incomplete short left intended for Martavis Bryant,4.260,3.010
1,1:08,4,5,TEN 5,13,7,Shaun Suisham 23 yard field goal good,3.010,3.000
1,1:08,,,PIT 35,13,7,"Shaun Suisham kicks off 45 yards, returned by Karl Klug for 20 yards (tackle by Wesley Johnson)",0.000,-1.600
1,0:56,1,10,TEN 40,13,7,Bishop Sankey right guard for 9 yards (tackle by Vince Williams and Antwon Blake),1.600,2.270
1,0:19,2,1,TEN 49,13,7,Shonn Greene left guard for 3 yards (tackle by Will Allen),2.270,2.390
Quarter,Time,Down,ToGo,Location,PIT,TEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,PIT 48,13,7,Zach Mettenberger pass complete deep right to Dexter McCluster for 17 yards (tackle by Will Allen),2.390,3.510
2,14:16,1,10,PIT 31,13,7,Shonn Greene right tackle for 1 yard (tackle by Lawrence Timmons),3.510,3.100
2,13:36,2,9,PIT 30,13,7,Zach Mettenberger pass complete short left to Kendall Wright for 23 yards (tackle by William Gay),3.100,5.600
2,12:47,1,7,PIT 7,13,7,Zach Mettenberger pass incomplete short left intended for Dexter McCluster,5.600,4.760
2,12:43,2,7,PIT 7,13,7,Dexter McCluster up the middle for 5 yards (tackle by Brett Keisel and Vince Williams),4.760,4.950
2,12:01,3,2,PIT 2,13,7,Bishop Sankey up the middle for no gain (tackle by Will Allen and Michael Mitchell),4.950,3.250
2,11:16,4,2,PIT 2,13,10,Ryan Succop 20 yard field goal good,3.250,3.000
2,11:16,,,TEN 35,13,10,"Ryan Succop kicks off 67 yards, returned by Markus Wheaton for 27 yards (tackle by Daimion Stafford)",0.000,-0.610
2,11:07,1,10,PIT 25,13,10,Ben Roethlisberger pass incomplete deep right intended for Antonio Brown (defended by Michael Griffin),0.610,0.060
2,11:00,2,10,PIT 25,13,10,Le'Veon Bell left guard for -1 yards (tackle by George Wilson),0.060,-0.760
2,10:17,3,11,PIT 24,13,10,Ben Roethlisberger sacked by Quentin Groves for -9 yards,-0.760,-2.440
2,9:32,4,20,PIT 15,13,10,"Brad Wing punts 38 yards, returned by Dexter McCluster for 1 yard (tackle by Vince Williams)",-2.440,-2.130
2,9:21,1,10,TEN 48,13,10,Zach Mettenberger pass incomplete short left intended for Kendall Wright (defended by Brett Keisel),2.130,1.580
2,9:17,2,10,TEN 48,13,10,Zach Mettenberger pass complete short left to Jackie Battle for -5 yards (tackle by Sean Spence),1.580,0.230
2,8:33,3,15,TEN 43,13,10,Zach Mettenberger pass complete short middle to Justin Hunter for 12 yards (tackle by Vince Williams),0.230,0.270
2,7:49,4,3,PIT 45,13,10,"Brett Kern punts 32 yards, fair catch by Antonio Brown",0.270,0.320
2,7:41,1,10,PIT 13,13,10,Ben Roethlisberger pass complete short left to Heath Miller for 2 yards (tackle by Michael Griffin),-0.320,-0.570
2,7:02,2,8,PIT 15,13,10,Ben Roethlisberger pass complete short right to Antonio Brown for 11 yards (tackle by George Wilson),-0.570,0.670
2,6:24,1,10,PIT 26,13,10,Ben Roethlisberger pass complete short right to Dri Archer for -5 yards (tackle by Daimion Stafford),0.670,-0.550
2,5:40,2,15,PIT 21,13,10,Ben Roethlisberger pass complete short left to Antonio Brown for 9 yards (tackle by George Wilson),-0.550,-0.030
2,4:55,3,6,PIT 30,13,10,"Penalty on Marcus Gilbert: False Start, 5 yards (no play)",-0.030,-0.690
2,4:27,3,11,PIT 25,13,10,Ben Roethlisberger pass complete deep left to Antonio Brown for 17 yards,-0.690,1.730
2,3:57,1,10,PIT 42,13,10,Le'Veon Bell left end for 7 yards (tackle by Avery Williamson and Kamerion Wimbley),1.730,2.130
2,3:16,2,3,PIT 49,13,10,Le'Veon Bell up the middle for 9 yards (tackle by Wesley Woodyard and Kamerion Wimbley),2.130,2.790
2,2:42,1,10,TEN 42,13,10,Le'Veon Bell right tackle for 3 yards (tackle by Karl Klug),2.790,2.650
2,2:02,2,7,TEN 39,13,10,Ben Roethlisberger sacked by Derrick Morgan and Avery Williamson for -1 yards,2.650,1.820
2,1:55,3,8,TEN 40,13,10,Ben Roethlisberger pass complete short right to Antonio Brown for 9 yards (tackle by Jason McCourty),1.820,3.510
2,1:15,1,10,TEN 31,13,10,Ben Roethlisberger pass complete short left to Heath Miller for 11 yards (tackle by Michael Griffin),3.510,3.510
2,1:05,1,10,TEN 31,13,10,Timeout #1 by Pittsburgh Steelers,3.510,4.240
2,1:05,1,10,TEN 20,13,10,Ben Roethlisberger pass incomplete deep right intended for Martavis Bryant (defended by Blidi Wreh-Wilson),4.240,3.690
2,1:00,2,10,TEN 20,13,10,Le'Veon Bell left tackle for 3 yards (tackle by Daimion Stafford),3.690,3.690
2,0:52,2,10,TEN 20,13,10,Timeout #2 by Pittsburgh Steelers,3.690,3.360
2,0:52,3,7,TEN 17,13,10,Ben Roethlisberger pass incomplete deep middle intended for Antonio Brown is intercepted by Jason McCourty at TEN--2,3.360,3.360
2,0:44,3,7,TEN 17,13,10,Timeout #1 by Tennessee Titans,3.360,-0.280
2,0:44,1,10,TEN 20,13,16,"Zach Mettenberger pass complete deep left to Nate Washington for 80 yards, touchdown",0.280,7.000
2,0:44,,,PIT 2,13,17,Ryan Succop kicks extra point good,0.000,0.000
2,0:44,,,TEN 35,13,17,"Ryan Succop kicks off 63 yards, returned by Markus Wheaton for 18 yards (tackle by Zaviar Gooden)",0.000,-0.280
2,0:23,1,10,PIT 20,13,17,Ben Roethlisberger pass incomplete deep right intended for Markus Wheaton,0.280,-0.270
2,0:16,2,10,PIT 20,13,17,Ben Roethlisberger sacked by Shaun Phillips for -1 yards,-0.270,-1.140
Quarter,Time,Down,ToGo,Location,PIT,TEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PIT 35,13,17,"Shaun Suisham kicks off 65 yards, returned by Bishop Sankey for 21 yards (tackle by Terence Garvin)",0.000,-0.340
3,14:54,1,10,TEN 21,13,17,Bishop Sankey left tackle for 6 yards (tackle by William Gay),0.340,0.610
3,14:22,2,4,TEN 27,13,17,Bishop Sankey left tackle for 2 yards (tackle by Jason Worilds and Sean Spence),0.610,0.170
3,13:38,3,2,TEN 29,13,17,Zach Mettenberger pass incomplete short middle intended for Nate Washington,0.170,-1.440
3,13:32,4,2,TEN 29,13,17,"Brett Kern punts 51 yards, returned by Antonio Brown for 30 yards (tackle by Marqueston Huff). Penalty on Arthur Moats: Illegal Block Above the Waist, 10 yards",-1.440,-0.540
3,13:16,1,10,PIT 24,13,17,Le'Veon Bell left tackle for 5 yards (tackle by Jurrell Casey),0.540,0.670
3,12:42,2,5,PIT 29,13,17,Le'Veon Bell left tackle for 6 yards (tackle by Ropati Pitoitua and Derrick Morgan),0.670,1.270
3,12:03,1,10,PIT 35,13,17,Ben Roethlisberger pass incomplete deep left intended for Markus Wheaton,1.270,0.720
3,11:58,2,10,PIT 35,13,17,Ben Roethlisberger pass complete short right to Antonio Brown for 11 yards (tackle by Blidi Wreh-Wilson),0.720,1.990
3,11:18,1,10,PIT 46,13,17,Ben Roethlisberger pass complete short right to Antonio Brown for 4 yards (tackle by Jason McCourty),1.990,1.990
3,10:35,2,6,,13,17,Ben Roethlisberger sacked by Avery Williamson and Wesley Woodyard for -8 yards,1.990,0.230
3,9:49,3,14,PIT 42,13,17,Ben Roethlisberger sacked by Avery Williamson for -8 yards,0.230,-1.110
3,9:05,4,22,PIT 34,13,17,"Brad Wing punts 43 yards, fair catch by Dexter McCluster",-1.110,-0.480
3,8:58,1,10,TEN 23,13,17,Zach Mettenberger pass complete short right to Chase Coffman for 18 yards (tackle by Michael Mitchell and Will Allen),0.480,1.660
3,8:23,1,10,TEN 41,13,17,Bishop Sankey left tackle for 4 yards (tackle by Cameron Heyward),1.660,1.660
3,7:48,2,6,TEN 45,13,17,Zach Mettenberger pass incomplete deep left intended for Justin Hunter,1.660,0.960
3,7:41,3,6,TEN 45,13,17,Zach Mettenberger pass complete short right to Chase Coffman for 10 yards (tackle by Lawrence Timmons),0.960,2.590
3,7:05,1,10,PIT 45,13,17,"Bishop Sankey right end for no gain (tackle by Cam Thomas). Penalty on Chance Warmack: Offensive Holding, 10 yards (no play)",2.590,1.930
3,6:34,1,20,TEN 45,13,17,Zach Mettenberger pass complete short left to Justin Hunter for 36 yards,1.930,1.930
3,6:01,1,20,TEN 45,13,17,Timeout #1 by Tennessee Titans,1.930,4.310
3,6:01,1,10,PIT 19,13,17,Zach Mettenberger pass complete short right to Jackie Battle for 9 yards (tackle by Lawrence Timmons),4.310,5.360
3,5:23,2,1,PIT 10,13,17,Zach Mettenberger pass incomplete short left intended for Chase Coffman (defended by Brett Keisel),5.360,4.690
3,5:17,3,1,PIT 10,13,17,Shonn Greene right guard for 2 yards (tackle by Sean Spence and Brice McCain),4.690,5.370
3,4:36,1,8,PIT 8,13,17,Bishop Sankey up the middle for 4 yards (tackle by Cameron Heyward and Michael Mitchell),5.370,5.340
3,3:53,2,4,PIT 4,13,17,Zach Mettenberger pass incomplete short middle intended for Kendall Wright,5.340,4.490
3,3:48,3,4,PIT 4,13,23,"Zach Mettenberger pass complete short right to Chase Coffman for 4 yards, touchdown",4.490,7.000
3,3:48,,,PIT 2,13,24,Ryan Succop kicks extra point good,0.000,0.000
3,3:48,,,TEN 35,13,24,"Ryan Succop kicks off 59 yards, returned by Markus Wheaton for 22 yards (tackle by Avery Williamson)",0.000,-0.810
3,3:36,1,10,PIT 28,13,24,Ben Roethlisberger pass incomplete deep left intended for Markus Wheaton,0.810,0.260
3,3:28,2,10,PIT 28,13,24,Le'Veon Bell left tackle for 7 yards (tackle by Jurrell Casey and Derrick Morgan),0.260,0.500
3,2:45,3,3,PIT 35,13,24,Ben Roethlisberger left end for 4 yards (tackle by Derrick Morgan),0.500,1.530
3,1:58,1,10,PIT 39,13,24,Le'Veon Bell right end for 27 yards (tackle by Ropati Pitoitua),1.530,3.310
3,1:29,1,10,TEN 34,13,24,Le'Veon Bell left tackle for 11 yards (tackle by Michael Griffin),3.310,4.040
3,0:52,1,10,TEN 23,13,24,Le'Veon Bell right guard for 2 yards (tackle by Daimion Stafford and Shaun Phillips),4.040,3.770
3,0:10,2,8,TEN 21,13,24,Ben Roethlisberger pass complete short right to Heath Miller for 16 yards (tackle by Michael Griffin and Daimion Stafford),3.770,6.060
Quarter,Time,Down,ToGo,Location,PIT,TEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,5,TEN 5,19,24,"Le'Veon Bell up the middle for 5 yards, touchdown",6.060,7.000
,,,,,,,"Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",,
4,15:00,,,TEN 2,20,24,Shaun Suisham kicks extra point good,0.000,0.000
4,15:00,,,PIT 35,20,24,"Shaun Suisham kicks off 63 yards, returned by Bishop Sankey for 30 yards (tackle by Vince Williams)",0.000,-1.070
4,14:42,1,10,TEN 32,20,24,Bishop Sankey right end for -3 yards (tackle by Will Allen),1.070,0.120
4,14:03,2,13,TEN 29,20,24,Zach Mettenberger pass complete short left to Bishop Sankey for 7 yards (tackle by William Gay and James Harrison),0.120,0.370
4,13:16,3,6,TEN 36,20,24,Zach Mettenberger pass incomplete short middle intended for Kendall Wright,0.370,-0.980
4,13:11,4,6,TEN 36,20,24,"Brett Kern punts 29 yards, out of bounds",-0.980,-1.270
4,13:03,1,10,PIT 35,20,24,Le'Veon Bell right guard for 10 yards (tackle by Daimion Stafford),1.270,1.930
4,12:21,1,10,PIT 45,20,24,Ben Roethlisberger pass complete short left to Lance Moore for 15 yards (tackle by Jason McCourty),1.930,2.920
4,11:50,1,10,TEN 40,20,24,Ben Roethlisberger pass incomplete deep left intended for Markus Wheaton,2.920,2.370
4,11:45,2,10,TEN 40,20,24,Ben Roethlisberger pass complete short left to Le'Veon Bell for 8 yards (tackle by Kamerion Wimbley),2.370,2.740
4,11:12,3,2,TEN 32,20,24,Ben Roethlisberger pass complete short left to Le'Veon Bell for 10 yards (tackle by Jason McCourty),2.740,4.110
4,10:33,1,10,TEN 22,20,24,Le'Veon Bell up the middle for 4 yards (tackle by Coty Sensabaugh and Ropati Pitoitua),4.110,4.130
4,9:52,2,6,TEN 18,20,24,Le'Veon Bell left tackle for 6 yards (tackle by Michael Griffin),4.130,4.780
4,9:07,1,10,TEN 12,26,24,"Ben Roethlisberger pass complete short left to Antonio Brown for 12 yards, touchdown",4.780,7.000
4,9:07,,,TEN 2,27,24,Shaun Suisham kicks extra point good,0.000,0.000
4,9:07,,,PIT 35,27,24,"Shaun Suisham kicks off 60 yards, returned by Bishop Sankey for 31 yards (tackle by B.W. Webb)",0.000,-1.330
4,8:52,1,10,TEN 36,27,24,Zach Mettenberger pass complete short left to Kendall Wright for 10 yards (tackle by Sean Spence),1.330,1.990
4,8:29,1,10,TEN 46,27,24,Bishop Sankey up the middle for 1 yard (tackle by James Harrison and Brett Keisel),1.990,1.590
4,7:50,2,9,TEN 47,27,24,Zach Mettenberger pass incomplete short left intended for Kendall Wright,1.590,0.890
4,7:44,3,9,TEN 47,27,24,Zach Mettenberger pass complete short left to Derek Hagan for 5 yards (tackle by Michael Mitchell),0.890,0.070
4,7:06,4,4,PIT 48,27,24,"Brett Kern punts 29 yards, fair catch by Antonio Brown",0.070,-0.150
4,6:58,1,10,PIT 19,27,24,Le'Veon Bell up the middle for 6 yards (tackle by Mike Martin),0.150,0.480
4,6:16,2,4,PIT 25,27,24,Ben Roethlisberger pass incomplete short right intended for Le'Veon Bell (defended by Michael Griffin),0.480,0.480
,,,,,,,"TEN challenged the incomplete pass ruling, and the play was upheld.",,
4,6:07,2,4,PIT 25,27,24,Timeout #1 by Pittsburgh Steelers,0.480,-0.290
4,6:07,3,4,PIT 25,27,24,Ben Roethlisberger pass complete short right to Markus Wheaton for 6 yards (tackle by Jason McCourty),-0.290,1.000
4,5:31,1,10,PIT 31,27,24,Le'Veon Bell left guard for 10 yards (tackle by George Wilson),1.000,1.660
4,4:50,1,10,PIT 41,27,24,Le'Veon Bell up the middle for 10 yards (tackle by George Wilson),1.660,2.320
4,4:06,1,10,TEN 49,27,24,Le'Veon Bell up the middle for 8 yards (tackle by Jurrell Casey),2.320,2.860
4,3:19,2,2,TEN 41,27,24,Le'Veon Bell up the middle for 3 yards (tackle by Karl Klug and Wesley Woodyard),2.860,3.050
4,2:35,1,10,TEN 38,27,24,Le'Veon Bell left guard for 8 yards (tackle by George Wilson and Kamerion Wimbley),3.050,3.590
4,2:00,2,2,TEN 30,27,24,Le'Veon Bell right guard for 5 yards (tackle by Coty Sensabaugh),3.590,3.590
4,1:54,2,2,TEN 30,27,24,Timeout #3 by Tennessee Titans,3.590,3.910
4,1:54,1,10,TEN 25,27,24,Le'Veon Bell up the middle for -1 yards (tackle by Michael Griffin),3.910,3.230
4,1:11,2,11,TEN 26,27,24,Ben Roethlisberger kneels for -1 yards,3.230,2.410
4,0:33,3,12,TEN 27,27,24,Ben Roethlisberger kneels for -1 yards,2.410,1.590
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
