Quarter,Time,Tm,Detail,STL,CHI
1.0,9:43,Bears,Matt Forte 1 yard rush (Robbie Gould kick),0,7
,3:51,Bears,Robbie Gould 27 yard field goal,0,10
2.0,1:14,Rams,Josh Brown 20 yard field goal,3,10
3.0,8:50,Rams,Josh Brown 48 yard field goal,6,10
,1:23,Bears,Earl Bennett 3 yard pass from Jay Cutler (Robbie Gould kick),6,17
4.0,10:10,Rams,Josh Brown 50 yard field goal,9,17
