Unnamed: 0,STL,CHI
First Downs,14,14
Rush-Yds-TDs,30-135-0,38-120-1
Cmp-Att-Yd-TD-INT,17-32-113-0-1,9-18-143-1-0
Sacked-Yards,3-15,2-15
Net Pass Yards,98,128
Total Yards,233,248
Fumbles-Lost,2-1,6-1
Turnovers,2,1
Penalties-Yards,6-85,4-35
Third Down Conv.,2-14,4-13
Fourth Down Conv.,0-1,0-1
Time of Possession,32:00,28:00
