Unnamed: 0,MIA,CLE
First Downs,22,30
Rush-Yds-TDs,20-92-1,32-147-2
Cmp-Att-Yd-TD-INT,21-39-214-2-2,24-34-327-3-1
Sacked-Yards,4-22,1-7
Net Pass Yards,192,320
Total Yards,284,467
Fumbles-Lost,1-0,2-0
Turnovers,2,1
Penalties-Yards,8-94,7-70
Third Down Conv.,6-14,4-8
Fourth Down Conv.,0-1,0-0
Time of Possession,23:54,36:06
