Quarter,Time,Tm,Detail,MIA,CLE
1.0,9:59,Browns,Jarvis Landry 7 yard pass from Baker Mayfield (Austin Seibert kick),0,7
,1:51,Browns,Odell Beckham Jr. 35 yard pass from Baker Mayfield (Austin Seibert kick),0,14
2.0,10:31,Browns,Jarvis Landry 5 yard pass from Baker Mayfield (Austin Seibert kick),0,21
,1:01,Browns,Kareem Hunt 6 yard rush (Austin Seibert kick),0,28
,0:00,Dolphins,Jason Sanders 36 yard field goal,3,28
3.0,9:37,Dolphins,Mike Gesicki 11 yard pass from Ryan Fitzpatrick (Jason Sanders kick),10,28
,0:04,Dolphins,Ryan Fitzpatrick 8 yard rush (Jason Sanders kick),17,28
4.0,11:21,Browns,Austin Seibert 40 yard field goal,17,31
,6:51,Browns,Austin Seibert 26 yard field goal,17,34
,3:26,Browns,Nick Chubb 5 yard rush (Austin Seibert kick),17,41
,0:39,Dolphins,Allen Hurns 19 yard pass from Ryan Fitzpatrick (Jason Sanders kick),24,41
