Quarter,Time,Tm,Detail,CIN,PIT
1.0,10:50,Steelers,Antonio Brown 71 yard punt return (Shaun Suisham kick),0,7
,2:43,Bengals,Giovani Bernard 17 yard pass from Andy Dalton (Mike Nugent kick),7,7
2.0,12:32,Bengals,Mike Nugent 39 yard field goal,10,7
,7:36,Steelers,Shaun Suisham 29 yard field goal,10,10
,5:52,Steelers,Martavis Bryant 21 yard pass from Ben Roethlisberger (Shaun Suisham kick),10,17
,0:40,Steelers,Shaun Suisham 25 yard field goal,10,20
4.0,11:14,Bengals,Jermaine Gresham 5 yard pass from Andy Dalton (Mike Nugent kick),17,20
,2:50,Steelers,Antonio Brown 63 yard pass from Ben Roethlisberger (Shaun Suisham kick),17,27
