Unnamed: 0,CAR,GNB
First Downs,21,18
Rush-Yds-TDs,29-131-0,27-103-0
Cmp-Att-Yd-TD-INT,19-37-258-2-2,22-30-218-3-0
Sacked-Yards,2-7,1-4
Net Pass Yards,251,214
Total Yards,382,317
Fumbles-Lost,2-1,1-0
Turnovers,3,0
Penalties-Yards,4-25,6-75
Third Down Conv.,5-14,5-12
Fourth Down Conv.,1-2,0-0
Time of Possession,28:49,31:11
