Unnamed: 0,HOU,DET
First Downs,26,29
Rush-Yds-TDs,28-205-3,23-106-2
Cmp-Att-Yd-TD-INT,29-48-315-1-1,31-61-441-2-0
Sacked-Yards,2-19,3-22
Net Pass Yards,296,419
Total Yards,501,525
Fumbles-Lost,1-0,2-1
Turnovers,1,1
Penalties-Yards,8-66,7-70
Third Down Conv.,6-15,9-18
Fourth Down Conv.,1-1,0-0
Time of Possession,35:38,37:01
