Unnamed: 0,CHI,MIA
First Downs,23,23
Rush-Yds-TDs,31-164-1,31-161-0
Cmp-Att-Yd-TD-INT,22-31-316-3-1,28-44-380-3-2
Sacked-Yards,2-13,0-0
Net Pass Yards,303,380
Total Yards,467,541
Fumbles-Lost,2-2,1-1
Turnovers,3,3
Penalties-Yards,6-58,7-67
Third Down Conv.,8-12,8-17
Fourth Down Conv.,0-1,0-0
Time of Possession,33:25,36:35
