Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Jordan Howard,CHI,14,69,0,4,36,2.6,33,2.4,0,
Mitchell Trubisky,CHI,8,47,0,3,28,3.5,19,2.4,0,
Tarik Cohen,CHI,5,31,1,1,25,5.0,6,1.2,0,
Benny Cunningham,CHI,3,8,0,,5,1.7,3,1.0,0,
Taylor Gabriel,CHI,1,9,0,0,7,7.0,2,2.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Frank Gore,MIA,15,101,0,2,40,2.7,61,4.1,1,15.0
Kenyan Drake,MIA,13,57,0,3,22,1.7,35,2.7,3,4.3
Brock Osweiler,MIA,2,8,0,1,3,1.5,5,2.5,0,
Albert Wilson,MIA,1,-5,0,0,-6,-6.0,1,1.0,0,
