Unnamed: 0,TAM,IND
First Downs,17,26
Rush-Yds-TDs,19-125-0,27-155-3
Cmp-Att-Yd-TD-INT,20-31-199-2-1,24-41-251-0-1
Sacked-Yards,6-26,2-12
Net Pass Yards,173,239
Total Yards,298,394
Fumbles-Lost,2-1,1-0
Turnovers,2,1
Penalties-Yards,4-24,5-40
Third Down Conv.,5-13,2-11
Fourth Down Conv.,1-1,3-4
Time of Possession,28:39,31:21
