Quarter,Time,Down,ToGo,Location,TAM,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss and deferred, Buccaneers to receive the opening kickoff.",,
1,15:00,,,IND 35,0,0,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,TAM 25,0,0,Baker Mayfield pass complete short right to Chris Godwin for 5 yards (tackle by Kenny Moore and Darrell Baker),0.610,0.740
1,14:21,2,5,TAM 30,0,0,Baker Mayfield pass complete short right to Mike Evans for 4 yards (tackle by Kenny Moore),0.740,0.560
1,13:40,3,1,TAM 34,0,0,Baker Mayfield pass complete short left to Cade Otton for 24 yards (tackle by DeForest Buckner),0.560,2.790
1,12:54,1,10,IND 42,0,0,Rachaad White up the middle for 4 yards (tackle by E.J. Speed),2.790,2.780
1,12:12,2,6,IND 38,0,0,Rachaad White left end for 7 yards (tackle by Zaire Franklin),2.780,3.510
1,11:29,1,10,IND 31,0,0,Baker Mayfield pass incomplete deep left intended for Mike Evans,3.510,2.970
1,11:24,2,10,IND 31,0,0,Rachaad White up the middle for 7 yards (tackle by Zaire Franklin),2.970,3.200
1,10:44,3,3,IND 24,0,0,Baker Mayfield pass complete short left to Trey Palmer for 4 yards (tackle by Jaylon Jones),3.200,4.240
1,10:05,1,10,IND 20,0,0,Baker Mayfield pass incomplete short right,4.240,3.690
1,10:00,2,10,IND 20,0,0,Baker Mayfield pass incomplete short left intended for David Moore (defended by Julian Blackmon),3.690,3.010
1,9:57,3,10,IND 20,0,0,Baker Mayfield pass complete deep left to Mike Evans for 19 yards (tackle by Jaylon Jones),3.010,6.970
1,9:32,1,1,IND 1,0,0,Penalty on Samson Ebukam: Defensive Offside (accepted) (no play),6.970,6.970
1,9:11,1,1,IND 1,0,0,Baker Mayfield up the middle for no gain (tackle by DeForest Buckner and Zaire Franklin),6.970,5.910
1,8:39,2,1,IND 1,0,0,"Penalty on Aaron Stinnie: False Start, 4 yards (accepted) (no play)",5.910,5.150
1,8:15,2,5,IND 5,0,0,Rachaad White up the middle for 2 yards (tackle by Samson Ebukam and Eric Johnson),5.150,4.720
1,7:36,3,3,IND 3,0,0,Kyle Trask pass incomplete short right intended for Chris Godwin,4.720,3.040
1,7:31,4,3,IND 3,3,0,Chase McLaughlin 21 yard field goal good,3.040,3.000
1,7:28,,,TAM 35,3,0,"Jake Camarda kicks off 61 yards,",0.000,0.610
1,7:28,1,10,IND 25,3,0,Gardner Minshew pass complete short left to Josh Downs for 9 yards (tackle by Devin White),0.610,1.280
1,6:49,2,1,IND 34,3,0,Gardner Minshew pass complete short left to Michael Pittman for 11 yards (tackle by Devin White and Zyon McCollum),1.280,1.930
1,6:14,1,10,IND 45,3,0,"Gardner Minshew pass incomplete deep middle intended for Michael Pittman. Penalty on Carlton Davis: Defensive Holding, 5 yards (accepted) (no play)",1.930,2.260
1,6:08,1,10,IND 50,3,0,Gardner Minshew pass complete short right to Alec Pierce for 8 yards (tackle by SirVocea Dennis),2.260,2.790
1,5:35,2,2,TAM 42,3,0,Gardner Minshew pass complete short left to Alec Pierce for 5 yards (tackle by Antoine Winfield),2.790,3.120
1,5:07,1,10,TAM 37,3,0,Gardner Minshew pass complete short middle to Michael Pittman for 9 yards (tackle by Zyon McCollum),3.120,3.790
1,4:36,2,1,TAM 28,3,0,Jonathan Taylor right tackle for 9 yards (tackle by Antoine Winfield and Ryan Neal),3.790,4.310
1,3:54,1,10,TAM 19,3,0,Gardner Minshew pass incomplete short left intended for Will Mallory,4.310,3.750
1,3:49,2,10,TAM 19,3,0,Gardner Minshew pass incomplete short right intended for Michael Pittman (defended by Carlton Davis),3.750,3.030
1,3:44,3,10,TAM 19,3,0,Gardner Minshew sacked by Joe Tryon-Shoyinka for -9 yards,3.030,1.590
1,3:05,4,19,TAM 28,3,3,Matt Gay 46 yard field goal good,1.590,3.000
1,3:01,,,IND 35,3,3,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
1,3:01,1,10,TAM 25,3,3,Baker Mayfield pass complete short left to Cade Otton for 6 yards (tackle by Jaylon Jones),0.610,0.870
1,2:24,2,4,TAM 31,3,3,"Chase Edmonds right tackle for no gain (tackle by Eric Johnson). Penalty on Adetomiwa Adebawore: Defensive Offside, 5 yards (accepted) (no play)",0.870,1.330
1,1:56,1,10,TAM 36,3,3,Baker Mayfield pass short middle intended for Mike Evans is intercepted by Ronnie Harrison at 50 and returned for 9 yards (tackle by Chase Edmonds),1.330,-2.850
1,1:49,1,10,TAM 41,3,3,Isaiah McKenzie left end for 3 yards (tackle by Zyon McCollum),2.850,2.710
1,1:11,2,7,TAM 38,3,3,Gardner Minshew pass complete short middle to Michael Pittman for 17 yards (tackle by Antoine Winfield and Carlton Davis),2.710,4.170
1,0:45,1,10,TAM 21,3,3,Jonathan Taylor up the middle for 17 yards (tackle by Antoine Winfield),4.170,6.280
1,0:16,1,4,TAM 4,3,9,"Jonathan Taylor left tackle for 4 yards, touchdown",6.280,7.000
1,0:11,,,TAM 15,3,10,Matt Gay kicks extra point good,0.000,0.000
1,0:11,,,IND 35,3,10,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
1,0:11,1,10,TAM 25,3,10,Rachaad White up the middle for -2 yards (tackle by DeForest Buckner),0.610,-0.210
Quarter,Time,Down,ToGo,Location,TAM,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,12,TAM 23,3,10,Baker Mayfield pass incomplete short right intended for Chris Godwin (defended by Tyquan Lewis),-0.210,-0.890
2,14:55,3,12,TAM 23,3,10,Baker Mayfield sacked by Samson Ebukam for -9 yards,-0.890,-2.470
2,14:05,4,21,TAM 14,3,10,"Jake Camarda punts 61 yards, returned by Isaiah McKenzie for 13 yards (tackle by Ko Kieft)",-2.470,-1.470
2,13:51,1,10,IND 38,3,10,Gardner Minshew pass incomplete short middle intended for Kylen Granson (defended by Logan Hall),1.470,0.920
2,13:48,2,10,IND 38,3,10,Gardner Minshew pass incomplete short left intended for Josh Downs (defended by Calijah Kancey),0.920,0.230
2,13:42,3,10,IND 38,3,10,Gardner Minshew pass complete short right to Alec Pierce for 9 yards (tackle by Carlton Davis),0.230,-0.260
2,12:51,,,,,,Timeout #1 by Indianapolis Colts,,
2,12:51,4,1,IND 47,3,10,Gardner Minshew pass complete short left to Michael Pittman for 24 yards (tackle by Antoine Winfield),-0.260,3.640
2,12:14,1,10,TAM 29,3,10,Zack Moss left end for 2 yards (tackle by Shaquil Barrett and Devin White),3.640,3.370
2,11:33,2,8,TAM 27,3,10,Gardner Minshew pass complete short left to Michael Pittman for 12 yards (tackle by Zyon McCollum),3.370,4.580
2,11:01,1,10,TAM 15,3,10,Gardner Minshew pass complete short right to Josh Downs for 13 yards (tackle by Christian Izien and Antoine Winfield),4.580,6.740
2,10:29,1,2,TAM 2,3,10,Gardner Minshew pass incomplete short right intended for Josh Downs,6.740,5.720
2,10:25,2,2,TAM 2,3,10,Jonathan Taylor up the middle for no gain (tackle by Devin White),5.720,4.950
2,9:42,3,2,TAM 2,3,16,"Gardner Minshew scrambles right end for 2 yards, touchdown",4.950,7.000
2,9:36,,,TAM 15,3,17,Matt Gay kicks extra point good,0.000,0.000
