Unnamed: 0,HOU,TEN
First Downs,19,17
Rush-Yds-TDs,22-65-1,36-151-1
Cmp-Att-Yd-TD-INT,22-34-229-0-2,15-24-166-0-1
Sacked-Yards,1-6,1-6
Net Pass Yards,223,160
Total Yards,288,311
Fumbles-Lost,2-2,2-0
Turnovers,4,1
Penalties-Yards,5-55,7-76
Third Down Conv.,4-10,4-14
Fourth Down Conv.,0-0,0-0
Time of Possession,27:45,32:15
