Unnamed: 0,CAR,NOR
First Downs,24,21
Rush-Yds-TDs,26-107-0,22-41-2
Cmp-Att-Yd-TD-INT,24-41-349-2-0,23-33-376-2-1
Sacked-Yards,4-43,1-7
Net Pass Yards,306,369
Total Yards,413,410
Fumbles-Lost,1-0,1-0
Turnovers,0,1
Penalties-Yards,2-18,7-96
Third Down Conv.,8-17,2-8
Fourth Down Conv.,1-2,0-1
Time of Possession,33:49,26:11
