Quarter,Time,Down,ToGo,Location,CAR,NOR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Panthers won the coin toss and deferred, Saints to receive the opening kickoff.",,
1,15:00,,,CAR 35,0,0,"Graham Gano kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,NOR 25,0,0,Drew Brees pass complete short left to Brandon Coleman for 6 yards (tackle by Luke Kuechly),0.610,0.870
1,14:23,2,4,NOR 31,0,0,Mark Ingram right guard for 2 yards (tackle by Kawann Short and Shaq Thompson),0.870,0.430
1,13:49,3,2,NOR 33,0,0,Tommylee Lewis right end for -4 yards (tackle by James Bradberry),0.430,-1.440
1,13:13,4,6,NOR 29,0,0,"Thomas Morstead punts 44 yards, fair catch by Christian McCaffrey",-1.440,-0.740
1,13:04,1,10,CAR 27,0,0,Jonathan Stewart right guard for 11 yards (tackle by Marcus Williams and Vonn Bell),0.740,0.000
1,12:23,,,,,,Timeout #1 by Carolina Panthers,0.000,-1.470
1,12:23,1,10,CAR 38,0,0,Jonathan Stewart right tackle for 3 yards (tackle by Sheldon Rankins),1.470,1.330
1,11:50,2,7,CAR 41,0,0,Cam Newton right end for 2 yards (tackle by Vonn Bell),1.330,0.890
1,11:05,3,5,CAR 43,0,0,Cam Newton pass incomplete short right intended for Devin Funchess (defended by Marshon Lattimore),0.890,-0.520
1,11:00,4,5,CAR 43,0,0,"Michael Palardy punts 41 yards, fair catch by Tommylee Lewis",-0.520,0.140
1,10:51,1,10,NOR 16,0,0,"Drew Brees pass incomplete short left intended for Michael Thomas. Penalty on Daryl Worley: Defensive Holding, 5 yards (no play)",-0.140,0.340
1,10:47,1,10,NOR 21,0,0,Alvin Kamara right tackle for no gain (tackle by Thomas Davis),0.340,-0.200
1,10:04,2,10,NOR 21,0,0,Drew Brees pass incomplete deep right intended for Alvin Kamara,-0.200,-0.890
1,9:58,3,10,NOR 21,0,0,Drew Brees pass incomplete short right intended for Josh Hill,-0.890,-1.960
1,9:52,4,10,NOR 21,0,0,"Thomas Morstead punts 48 yards, returned by Kaelin Clay for -1 yards (tackle by Justin Hardee)",-1.960,-0.940
1,9:41,1,10,CAR 30,0,0,Cam Newton pass incomplete short left intended for Christian McCaffrey (defended by Cameron Jordan),0.940,0.390
1,9:36,2,10,CAR 30,0,0,Jonathan Stewart left tackle for 2 yards (tackle by Trey Hendrickson),0.390,-0.030
1,8:58,3,8,CAR 32,0,0,"Cam Newton left end for 10 yards (tackle by Vonn Bell). Penalty on P.J. Williams: Defensive Holding, 5 yards",-0.030,2.060
1,8:31,1,10,CAR 47,0,0,Cam Newton pass complete short middle to Christian McCaffrey for 8 yards (tackle by Craig Robertson and Manti Te'o),2.060,2.600
1,7:52,2,2,NOR 45,0,0,Fozzy Whittaker left end for 3 yards (tackle by Marcus Williams and Craig Robertson),2.600,2.790
1,7:14,1,10,NOR 42,0,0,Cam Newton right guard for 3 yards (tackle by Tyeler Davison and Craig Robertson),2.790,2.650
