Quarter,Time,Tm,Detail,PIT,CIN
1.0,10:48,Bengals,Randy Bullock 35 yard field goal,0,3
,0:41,Bengals,A.J. Green 8 yard pass from Andy Dalton (Randy Bullock kick),0,10
2.0,0:31,Bengals,A.J. Green 15 yard pass from Andy Dalton (Randy Bullock kick),0,17
,0:00,Steelers,Chris Boswell 30 yard field goal,3,17
3.0,8:58,Steelers,Le'Veon Bell 35 yard pass from Ben Roethlisberger (Chris Boswell kick),10,17
,3:33,Bengals,Randy Bullock 41 yard field goal,10,20
4.0,10:07,Steelers,Chris Boswell 37 yard field goal,13,20
,3:51,Steelers,Antonio Brown 6 yard pass from Ben Roethlisberger (Chris Boswell kick),20,20
,0:00,Steelers,Chris Boswell 38 yard field goal,23,20
