Unnamed: 0,PIT,CIN
First Downs,24,19
Rush-Yds-TDs,22-92-0,22-130-0
Cmp-Att-Yd-TD-INT,24-40-290-2-1,21-36-234-2-0
Sacked-Yards,1-8,2-11
Net Pass Yards,282,223
Total Yards,374,353
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,7-66,13-173
Third Down Conv.,4-12,7-14
Fourth Down Conv.,1-1,0-0
Time of Possession,29:49,30:11
