Quarter,Time,Down,ToGo,Location,CAR,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Panthers won the coin toss, Panthers to receive the opening kickoff.",,
1,15:00,,,SDG 35,0,0,"Nick Novak kicks off 71 yards, returned by Mike Tolbert for 26 yards (tackle by Andrew Gachkar)",0.000,0.280
1,14:54,1,10,CAR 20,0,0,DeAngelo Williams left end for 2 yards (tackle by Takeo Spikes and Jarret Johnson),0.280,0.000
1,14:19,2,8,CAR 22,0,0,Cam Newton pass complete short left to Gary Barnidge for 20 yards (tackle by Antoine Cason),0.000,1.730
1,14:19,1,10,CAR 42,0,0,Cam Newton pass incomplete short left intended for Greg Olsen,1.730,1.190
1,13:39,2,10,CAR 42,0,0,"Cam Newton pass complete short left to Steve Smith for 7 yards. Penalty on Antoine Cason: Personal Foul, 15 yards",1.190,3.180
1,13:27,1,10,SDG 36,0,0,DeAngelo Williams right end for 12 yards (tackle by Corey Lynch and Eric Weddle),3.180,3.970
1,12:37,1,10,SDG 24,0,0,Cam Newton right tackle for 3 yards (tackle by Kendall Reyes),3.970,3.840
1,11:54,2,7,SDG 21,0,0,Cam Newton pass complete short right to DeAngelo Williams for 6 yards (tackle by Eric Weddle),3.840,4.170
1,11:17,3,1,SDG 15,0,0,Mike Tolbert up the middle for 4 yards (tackle by Corey Lynch),4.170,4.840
1,10:37,1,10,SDG 11,0,0,Mike Tolbert up the middle for 6 yards (tackle by Eric Weddle),4.840,5.280
1,9:55,2,4,SDG 5,0,0,Cam Newton left end for 3 yards (tackle by Takeo Spikes),5.280,5.120
1,9:11,3,1,SDG 2,0,0,Cam Newton pass incomplete short right intended for Mike Tolbert (defended by Shaun Phillips),5.120,3.250
1,9:07,4,1,SDG 2,0,0,Cam Newton left guard for 1 yard (tackle by Takeo Spikes and Melvin Ingram),3.250,6.970
1,8:33,1,1,SDG 1,6,0,"Mike Tolbert left guard for 1 yard, touchdown",6.970,7.000
1,8:33,,,SDG 2,7,0,Graham Gano kicks extra point good,0.000,0.000
1,8:29,,,CAR 35,7,0,"Graham Gano kicks off 65 yards, touchback",0.000,0.280
1,8:29,1,10,SDG 20,7,0,Philip Rivers pass complete short left to Micheal Spurlock for 8 yards (tackle by Frank Kearse),0.280,0.810
