Unnamed: 0,CAR,SDG
First Downs,29,12
Rush-Yds-TDs,39-155-2,16-70-0
Cmp-Att-Yd-TD-INT,19-33-231-2-0,16-23-121-1-0
Sacked-Yards,2-14,6-27
Net Pass Yards,217,94
Total Yards,372,164
Fumbles-Lost,2-1,4-2
Turnovers,1,2
Penalties-Yards,6-48,9-70
Third Down Conv.,7-14,3-9
Fourth Down Conv.,1-1,0-0
Time of Possession,37:32,22:28
