Unnamed: 0,OAK,KAN
First Downs,11,25
Rush-Yds-TDs,25-67-1,38-173-0
Cmp-Att-Yd-TD-INT,7-24-109-0-0,24-39-241-1-2
Sacked-Yards,2-10,2-5
Net Pass Yards,99,236
Total Yards,166,409
Fumbles-Lost,2-0,1-0
Turnovers,0,2
Penalties-Yards,7-45,9-70
Third Down Conv.,3-13,5-15
Fourth Down Conv.,0-0,2-3
Time of Possession,21:21,38:39
