Quarter,Time,Tm,Detail,OAK,KAN
1.0,2:01,Chiefs,Ryan Succop 23 yard field goal,0,3
2.0,4:45,Raiders,Sebastian Janikowski 48 yard field goal,3,3
3.0,8:33,Raiders,Sebastian Janikowski 54 yard field goal,6,3
4.0,2:38,Chiefs,Dwayne Bowe 29 yard pass from Matt Cassel (Ryan Succop kick),6,10
,1:07,Raiders,Darren McFadden 5 yard rush (Sebastian Janikowski kick),13,10
