Quarter,Time,Tm,Detail,KAN,NOR
1,12:18,Saints,Lance Moore 9 yard pass from Drew Brees (Garrett Hartley kick),0,7
,4:51,Chiefs,Ryan Succop 25 yard field goal,3,7
2,14:55,Saints,Garrett Hartley 40 yard field goal,3,10
,4:41,Chiefs,Ryan Succop 45 yard field goal,6,10
3,13:10,Saints,Jimmy Graham 1 yard pass from Drew Brees (Garrett Hartley kick),6,17
,5:36,Saints,Jed Collins 6 yard pass from Drew Brees (Garrett Hartley kick),6,24
,5:18,Chiefs,Jamaal Charles 91 yard rush (Ryan Succop kick),13,24
4,13:40,Chiefs,Ryan Succop 34 yard field goal,16,24
,9:11,Chiefs,Ryan Succop 38 yard field goal,19,24
,5:33,Chiefs,"Safety, Drew Brees sacked by Justin Houston in the endzone.",21,24
,0:03,Chiefs,Ryan Succop 43 yard field goal,24,24
OT,6:27,Chiefs,Ryan Succop 31 yard field goal,27,24
