Unnamed: 0,KAN,NOR
First Downs,27,14
Rush-Yds-TDs,45-273-1,19-83-0
Cmp-Att-Yd-TD-INT,26-44-248-0-1,20-36-240-3-1
Sacked-Yards,3-11,4-35
Net Pass Yards,237,205
Total Yards,510,288
Fumbles-Lost,2-2,0-0
Turnovers,3,1
Penalties-Yards,6-40,4-45
Third Down Conv.,7-18,5-13
Fourth Down Conv.,2-2,0-0
Time of Possession,42:32,26:01
