Quarter,Time,Tm,Detail,CIN,PIT
1.0,9:25,Steelers,Antonio Brown 7 yard pass from Ben Roethlisberger (Chris Boswell kick),0,7
,0:10,Bengals,Brandon LaFell 6 yard pass from Andy Dalton (Randy Bullock kick),7,7
2.0,12:52,Steelers,JuJu Smith-Schuster 31 yard pass from Ben Roethlisberger (Chris Boswell kick),7,14
,7:12,Bengals,Tyler Kroft 1 yard pass from Andy Dalton (Randy Bullock kick),14,14
,1:50,Steelers,Chris Boswell 22 yard field goal,14,17
,0:00,Steelers,Chris Boswell 24 yard field goal,14,20
3.0,7:23,Steelers,Chris Boswell 41 yard field goal,14,23
,5:28,Steelers,Chris Boswell 49 yard field goal,14,26
4.0,5:14,Steelers,Chris Boswell 25 yard field goal,14,29
