Unnamed: 0,CIN,PIT
First Downs,11,21
Rush-Yds-TDs,17-71-0,43-152-0
Cmp-Att-Yd-TD-INT,17-30-140-2-2,15-25-268-2-0
Sacked-Yards,4-32,0-0
Net Pass Yards,108,268
Total Yards,179,420
Fumbles-Lost,1-0,0-0
Turnovers,2,0
Penalties-Yards,5-54,1-5
Third Down Conv.,3-11,2-11
Fourth Down Conv.,1-2,1-3
Time of Possession,24:45,35:15
