Unnamed: 0,TEN,PIT
First Downs,20,26
Rush-Yds-TDs,18-66-1,28-174-0
Cmp-Att-Yd-TD-INT,29-49-262-1-1,25-35-261-5-1
Sacked-Yards,3-22,1-4
Net Pass Yards,240,257
Total Yards,306,431
Fumbles-Lost,1-0,0-0
Turnovers,1,1
Penalties-Yards,9-70,5-51
Third Down Conv.,7-15,7-12
Fourth Down Conv.,1-2,1-1
Time of Possession,27:38,32:22
