Quarter,Time,Tm,Detail,HOU,CIN
1.0,9:03,Bengals,Brandon Bennett 6 yard pass from Jon Kitna (Shayne Graham kick),0,7
,6:56,Texans,Kris Brown 45 yard field goal,3,7
2.0,14:49,Texans,Corey Bradford 73 yard pass from David Carr (Kris Brown kick),10,7
,6:47,Bengals,Jeremi Johnson 1 yard rush (Shayne Graham kick),10,14
,2:33,Bengals,Shayne Graham 40 yard field goal,10,17
,0:19,Texans,Jabar Gaffney 8 yard pass from David Carr (Kris Brown kick),17,17
3.0,12:31,Texans,Domanick Williams 2 yard rush (Kris Brown kick),24,17
,8:09,Bengals,Rudi Johnson 17 yard rush (Shayne Graham kick),24,24
,1:47,Texans,Kris Brown 33 yard field goal,27,24
4.0,10:56,Bengals,Rudi Johnson 1 yard rush (Shayne Graham kick),27,31
,2:32,Bengals,Shayne Graham 40 yard field goal,27,34
