Unnamed: 0,HOU,CIN
First Downs,13,27
Rush-Yds-TDs,19-140-1,57-240-3
Cmp-Att-Yd-TD-INT,11-25-146-2-1,18-26-182-1-1
Sacked-Yards,2-17,0-0
Net Pass Yards,129,182
Total Yards,269,422
Fumbles-Lost,0-0,0-0
Turnovers,1,1
Penalties-Yards,6-58,7-55
Third Down Conv.,3-11,11-18
Fourth Down Conv.,2-2,2-2
Time of Possession,18:45,41:15
