Quarter,Time,Tm,Detail,HOU,DEN
1.0,1:51,Broncos,Jeb Putzier 34 yard pass from Jake Plummer (Jason Elam kick),0,7
2.0,9:52,Broncos,Jason Elam 52 yard field goal,0,10
,5:12,Texans,Domanick Williams 1 yard rush (Kris Brown kick),7,10
,1:52,Broncos,Ashley Lelie 40 yard pass from Jake Plummer (Jason Elam kick),7,17
,0:32,Broncos,Rod Smith 13 yard pass from Jake Plummer (Jason Elam kick),7,24
3.0,11:07,Broncos,Kyle Johnson 23 yard pass from Jake Plummer (Jason Elam kick),7,31
4.0,6:53,Texans,Domanick Williams 1 yard rush (pass failed),13,31
