Unnamed: 0,PIT,KAN
First Downs,19,26
Rush-Yds-TDs,20-56-0,22-106-0
Cmp-Att-Yd-TD-INT,29-44-215-2-0,31-40-406-6-1
Sacked-Yards,2-14,3-34
Net Pass Yards,201,372
Total Yards,257,478
Fumbles-Lost,2-1,2-1
Turnovers,1,2
Penalties-Yards,4-45,3-25
Third Down Conv.,7-16,8-12
Fourth Down Conv.,2-2,0-0
Time of Possession,30:00,30:00
