Quarter,Time,Down,ToGo,Location,NWE,HOU,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss and deferred, Texans to receive the opening kickoff.",,
1,15:00,,,NWE 35,0,0,"Jake Bailey kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,HOU 25,0,0,Carlos Hyde left guard for no gain (tackle by John Simon),0.610,0.060
1,14:23,2,10,HOU 25,0,0,Deshaun Watson pass incomplete short left intended for Darren Fells,0.060,-0.620
1,14:19,,,,,,Timeout #1 by Houston Texans,,
1,14:19,3,10,HOU 25,0,0,Deshaun Watson pass incomplete short right intended for DeAndre Hopkins,-0.620,-1.700
1,14:12,4,10,HOU 25,0,0,"Bryan Anger punts 49 yards, fair catch by Mohamed Sanu at NE-26",-1.700,-0.670
1,14:05,1,10,NWE 26,0,0,Sony Michel right guard for 4 yards (tackle by Benardrick McKinney and D.J. Reader),0.670,0.670
1,13:31,2,6,NWE 30,0,0,Sony Michel right tackle for no gain (tackle by Justin Reid),0.670,-0.030
1,12:54,3,6,NWE 30,0,0,Tom Brady pass complete short middle to Julian Edelman for 11 yards (tackle by Tashaun Gipson),-0.030,1.660
1,12:17,1,10,NWE 41,0,0,Rex Burkhead left guard for 1 yard (tackle by Zach Cunningham and Brandon Dunn),1.660,1.260
1,11:44,2,9,NWE 42,0,0,Rex Burkhead left guard for 4 yards (tackle by Tashaun Gipson),1.260,1.090
1,11:01,3,5,NWE 46,0,0,Tom Brady pass complete short left to Julian Edelman for 12 yards (tackle by Vernon Hargreaves),1.090,2.790
1,10:17,1,10,HOU 42,0,0,"Julian Edelman left end for -7 yards (tackle by Tashaun Gipson). Penalty on Barkevious Mingo: Unnecessary Roughness, 15 yards",2.790,3.310
1,9:52,1,10,HOU 34,0,0,Sony Michel left guard for 5 yards (tackle by D.J. Reader),3.310,3.450
1,9:16,2,5,HOU 29,0,0,Sony Michel right guard for 5 yards (tackle by D.J. Reader),3.450,3.970
1,8:35,1,10,HOU 24,0,0,Sony Michel up the middle for 17 yards (tackle by Justin Reid and Bradley Roby),3.970,5.600
1,7:54,1,7,HOU 7,0,0,Sony Michel right guard for 2 yards (tackle by Tashaun Gipson),5.600,5.150
1,7:15,2,5,HOU 5,0,0,Tom Brady pass incomplete short right intended for Jakobi Meyers (defended by Johnathan Joseph),5.150,4.260
1,7:12,3,5,HOU 5,0,0,Tom Brady pass incomplete short middle intended for Phillip Dorsett,4.260,3.010
1,7:07,4,5,HOU 5,3,0,Kai Forbath 23 yard field goal good,3.010,3.000
1,7:04,,,NWE 35,3,0,"Jake Bailey kicks off 65 yards, touchback.",0.000,0.610
1,7:04,1,10,HOU 25,3,0,Carlos Hyde right guard for 3 yards (tackle by Patrick Chung),0.610,0.470
1,6:29,2,7,HOU 28,3,0,Carlos Hyde up the middle for 3 yards (tackle by Elandon Roberts),0.470,0.170
1,5:49,3,4,HOU 31,3,0,Deshaun Watson pass complete deep middle to DeAndre Hopkins for 17 yards (tackle by Devin McCourty),0.170,2.130
1,5:17,1,10,HOU 48,3,0,Duke Johnson right guard for 6 yards (tackle by Dont'a Hightower),2.130,2.390
1,4:55,2,4,NWE 46,3,0,"Duke Johnson right tackle for 1 yard (tackle by John Simon and Patrick Chung). Penalty on Laremy Tunsil: Offensive Holding, 10 yards (no play)",2.390,1.040
1,4:25,2,14,HOU 44,3,0,Deshaun Watson pass complete short middle to Will Fuller for 8 yards (tackle by Jamie Collins and Shilique Calhoun),1.040,1.420
1,3:41,3,6,NWE 48,3,0,Deshaun Watson sacked by Kyle Van Noy for -6 yards,1.420,-0.320
1,2:58,4,12,HOU 46,3,0,"Bryan Anger punts 41 yards, returned by Mohamed Sanu for 6 yards (tackle by Barkevious Mingo)",-0.320,-0.150
1,2:49,1,10,NWE 19,3,0,Tom Brady pass incomplete short left intended for Mohamed Sanu,0.150,-0.390
1,2:44,2,10,NWE 19,3,0,Tom Brady pass complete short left to Mohamed Sanu for 6 yards (tackle by Zach Cunningham),-0.390,-0.290
1,2:05,3,4,NWE 25,3,0,"Tom Brady pass short left intended for N'Keal Harry is intercepted by Bradley Roby at NE-28 and returned for 22 yards. Penalty on Bradley Roby: Unsportsmanlike Conduct, 15 yards",-0.290,-4.170
1,1:58,1,10,NWE 21,3,0,Carlos Hyde right tackle for 2 yards (tackle by Danny Shelton and Jamie Collins),4.170,3.900
1,1:22,2,8,NWE 19,3,0,Deshaun Watson pass complete short middle to Carlos Hyde for 5 yards (tackle by John Simon),3.900,4.020
