Unnamed: 0,SFO,SEA
First Downs,8,31
Rush-Yds-TDs,21-62-0,40-185-1
Cmp-Att-Yd-TD-INT,9-22-77-0-1,24-30-259-4-1
Sacked-Yards,4-26,1-6
Net Pass Yards,51,253
Total Yards,113,438
Fumbles-Lost,3-1,1-0
Turnovers,2,1
Penalties-Yards,7-82,8-54
Third Down Conv.,2-12,6-10
Fourth Down Conv.,0-0,0-0
Time of Possession,23:47,36:13
