Unnamed: 0,DET,OAK
First Downs,25,26
Rush-Yds-TDs,19-57-0,22-132-1
Cmp-Att-Yd-TD-INT,29-52-391-4-0,32-40-367-1-0
Sacked-Yards,2-16,3-22
Net Pass Yards,375,345
Total Yards,432,477
Fumbles-Lost,1-1,1-1
Turnovers,1,1
Penalties-Yards,9-72,10-86
Third Down Conv.,8-17,1-9
Fourth Down Conv.,1-2,0-1
Time of Possession,28:27,31:33
