Quarter,Time,Tm,Detail,DET,OAK
1.0,6:19,Raiders,Louis Murphy 12 yard rush (Sebastian Janikowski kick),0,7
,3:34,Lions,Calvin Johnson 51 yard pass from Matthew Stafford (Jason Hanson kick),7,7
2.0,9:07,Raiders,Darrius Heyward-Bey 43 yard pass from Carson Palmer (Sebastian Janikowski kick),7,14
,1:14,Lions,Nate Burleson 39 yard pass from Matthew Stafford (Jason Hanson kick),14,14
,0:00,Raiders,Sebastian Janikowski 46 yard field goal,14,17
4.0,8:12,Raiders,Sebastian Janikowski 51 yard field goal,14,20
,7:47,Raiders,Aaron Curry 6 yard defensive fumble return (Sebastian Janikowski kick),14,27
,4:59,Lions,Titus Young 3 yard pass from Matthew Stafford (Jason Hanson kick),21,27
,0:39,Lions,Calvin Johnson 6 yard pass from Matthew Stafford (Jason Hanson kick),28,27
