Quarter,Time,Down,ToGo,Location,DET,OAK,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss and deferred, Lions to receive the opening kickoff.",,
1,15:00,,,OAK 35,0,0,"Sebastian Janikowski kicks off 74 yards, touchback",0.000,0.280
1,15:00,1,10,DET 20,0,0,Matthew Stafford pass complete short left to Stefan Logan for 19 yards (tackle by Stanford Routt),0.280,1.530
1,14:19,1,10,DET 39,0,0,Kevin Smith left tackle for 3 yards (tackle by Matt Giordano),1.530,1.390
1,13:40,2,7,DET 42,0,0,Matthew Stafford pass complete short middle to Brandon Pettigrew for 5 yards (tackle by Rolando McClain and Tyvon Branch),1.390,1.360
1,12:59,3,2,DET 47,0,0,Matthew Stafford pass incomplete deep left intended for Titus Young,1.360,-0.260
1,12:59,4,2,DET 47,0,0,"Penalty on Doug Hogue: False Start, 5 yards (no play)",-0.260,-0.590
1,12:55,4,7,DET 42,0,0,"Ben Graham punts 44 yards, returned by Bryan McCann for 17 yards (tackle by Don Muhlbach)",-0.590,-1.000
1,12:45,1,10,OAK 31,0,0,Carson Palmer pass complete short left to Darrius Heyward-Bey for 5 yards (tackle by Eric Wright),1.000,1.140
1,12:16,2,5,OAK 36,0,0,Denarius Moore left end for 13 yards (tackle by Eric Wright),1.140,2.190
1,11:39,1,10,OAK 49,0,0,Carson Palmer pass complete short right to Michael Bush for 18 yards (tackle by Chris Harris),2.190,3.380
1,10:55,1,10,DET 33,0,0,Michael Bush up the middle for 3 yards (tackle by Amari Spievey),3.380,3.240
1,10:22,2,7,DET 30,0,0,Carson Palmer pass complete short middle to Marcel Reece for 1 yard (tackle by Cliff Avril),3.240,2.680
1,9:43,3,6,DET 29,0,0,Carson Palmer pass complete short right to Chaz Schilens for 5 yards (tackle by Justin Durant),2.680,2.020
1,9:01,,,,0,0,Timeout #1 by Oakland Raiders,0.000,2.020
1,9:01,4,1,DET 24,0,0,Carson Palmer pass incomplete deep middle intended for Denarius Moore,2.020,-0.540
1,8:55,1,10,DET 24,0,0,Matthew Stafford pass incomplete deep middle intended for Calvin Johnson (defended by Stanford Routt),0.540,0.000
1,8:50,2,10,DET 24,0,0,Matthew Stafford pass complete short right to Brandon Pettigrew for 11 yards (tackle by Stanford Routt),0.000,1.270
1,8:37,1,10,DET 35,0,0,Matthew Stafford pass incomplete short right intended for Calvin Johnson,1.270,0.720
1,8:31,2,10,DET 35,0,0,Kevin Smith left guard for 4 yards (tackle by Richard Seymour),0.720,0.560
1,7:53,3,6,DET 39,0,0,Matthew Stafford pass incomplete short right intended for Brandon Pettigrew (defended by Richard Seymour),0.560,-0.780
1,7:48,4,6,DET 39,0,0,Ben Graham punts 37 yards,-0.780,-0.540
1,7:39,1,10,OAK 24,0,0,Marcel Reece for 26 yards,0.540,2.260
,,,,,,,"DET challenged the runner was in bounds ruling, and the original play was overturned.",,
1,7:16,1,10,,0,0,"Carson Palmer sacked by Cliff Avril for -12 yards. Penalty on Cliff Avril: Horse Collar Tackle, 15 yards",2.260,2.460
1,6:58,1,10,DET 47,0,0,"Carson Palmer pass incomplete deep right intended for Darrius Heyward-Bey. Penalty on Chris Houston: Illegal Contact, 5 yards (no play)",2.460,2.790
1,6:52,1,10,DET 42,0,0,"Carson Palmer pass complete short left to Marcel Reece for 18 yards (tackle by Stephen Tulloch). Penalty on Stephen Tulloch: Personal Foul, 12 yards",2.790,4.780
1,6:27,1,10,DET 12,0,6,"Louis Murphy left end for 12 yards, touchdown",4.780,7.000
1,,,,DET 2,0,7,Sebastian Janikowski kicks extra point good,0.000,0.000
1,,,,OAK 35,0,7,"Sebastian Janikowski kicks off 74 yards, touchback",0.000,0.280
1,6:19,1,10,DET 20,0,7,Matthew Stafford pass complete short left to Nate Burleson for 6 yards (tackle by Lito Sheppard),0.280,0.540
1,5:43,2,4,DET 26,0,7,Matthew Stafford pass incomplete,0.540,-0.160
1,5:35,3,4,DET 26,0,7,"Matthew Stafford pass incomplete short right intended for Calvin Johnson. Penalty on Stanford Routt: Defensive Holding, 5 yards (no play)",-0.160,1.000
1,5:33,1,10,DET 31,0,7,Matthew Stafford pass incomplete short left intended for Nate Burleson (defended by Stanford Routt),1.000,0.460
1,5:28,2,10,DET 31,0,7,Kevin Smith left tackle for -1 yards (tackle by Michael Mitchell and Aaron Curry),0.460,-0.360
1,4:47,3,11,DET 30,0,7,Matthew Stafford pass complete short left to Titus Young for 13 yards (tackle by Lito Sheppard),-0.360,1.800
1,4:20,1,10,DET 43,0,7,Matthew Stafford pass complete short left to Nate Burleson for 6 yards (tackle by Lito Sheppard),1.800,2.060
1,3:43,2,4,DET 49,6,7,"Matthew Stafford pass complete deep left to Calvin Johnson for 51 yards, touchdown",2.060,7.000
