Quarter,Time,Tm,Detail,TAM,GNB
1,9:52,Buccaneers,Cameron Brate 28 yard pass from Jameis Winston (Patrick Murray kick),7,0
,2:30,Packers,Mason Crosby 37 yard field goal,7,3
2,7:12,Packers,Jamaal Williams 1 yard rush (Mason Crosby kick),7,10
,4:17,Packers,Dean Lowry 62 yard fumble return (Mason Crosby kick),7,17
,0:13,Buccaneers,Patrick Murray 36 yard field goal,10,17
4,14:31,Buccaneers,Patrick Murray 30 yard field goal,13,17
,6:02,Buccaneers,Cameron Brate 11 yard pass from Jameis Winston (Patrick Murray kick),20,17
,2:01,Packers,Mason Crosby 22 yard field goal,20,20
OT,5:59,Packers,Aaron Jones 20 yard rush,20,26
