Unnamed: 0,TAM,GNB
First Downs,25,16
Rush-Yds-TDs,35-165-0,29-199-2
Cmp-Att-Yd-TD-INT,21-32-270-2-0,13-22-84-0-1
Sacked-Yards,7-40,2-7
Net Pass Yards,230,77
Total Yards,395,276
Fumbles-Lost,3-1,0-0
Turnovers,1,1
Penalties-Yards,8-74,7-47
Third Down Conv.,9-16,5-12
Fourth Down Conv.,0-0,0-0
Time of Possession,37:17,26:44
