Unnamed: 0,BAL,CLE
First Downs,16,21
Rush-Yds-TDs,23-104-0,18-63-0
Cmp-Att-Yd-TD-INT,20-34-232-2-2,28-48-289-2-0
Sacked-Yards,0-0,2-14
Net Pass Yards,232,275
Total Yards,336,338
Fumbles-Lost,0-0,0-0
Turnovers,2,0
Penalties-Yards,7-50,2-15
Third Down Conv.,2-11,4-15
Fourth Down Conv.,2-2,2-2
Time of Possession,29:30,30:30
