Quarter,Time,Tm,Detail,BAL,CLE
1.0,9:54,Ravens,Kaelin Clay 82 yard punt return (Justin Tucker kick),7,0
,4:22,Ravens,Justin Tucker 49 yard field goal,10,0
2.0,11:27,Browns,Travis Coons 31 yard field goal,10,3
,9:58,Ravens,Javorius Allen 13 yard pass from Matt Schaub (Justin Tucker kick),17,3
,4:36,Browns,Marlon Moore 10 yard pass from Josh McCown (Travis Coons kick),17,10
,0:03,Browns,Travis Coons 21 yard field goal,17,13
3.0,12:16,Browns,Karlos Dansby 52 yard interception return (Travis Coons kick),17,20
,5:30,Ravens,Kamar Aiken 15 yard pass from Matt Schaub (Justin Tucker kick),24,20
4.0,9:05,Ravens,Justin Tucker 35 yard field goal,27,20
,1:47,Browns,Travis Benjamin 42 yard pass from Austin Davis (Travis Coons kick),27,27
,0:00,Ravens,Will Hill 64 yard blocked field goal return (run failed),33,27
