Unnamed: 0,NYG,ARI
First Downs,19,18
Rush-Yds-TDs,28-147-1,32-104-2
Cmp-Att-Yd-TD-INT,19-31-193-1-0,12-24-90-0-0
Sacked-Yards,6-32,2-16
Net Pass Yards,161,74
Total Yards,308,178
Fumbles-Lost,0-0,2-0
Turnovers,0,0
Penalties-Yards,10-97,3-15
Third Down Conv.,4-13,5-13
Fourth Down Conv.,1-3,0-1
Time of Possession,33:27,26:33
