Quarter,Time,Down,ToGo,Location,NYG,ARI,Detail,EPB,EPA
2,,,,ARI 30,7,3,"Neil Rackers kicks off 70 yards, touchback",0.000,0.280
2,13:36,1,10,NYG 20,7,3,Kurt Warner pass complete to Tiki Barber for 8 yards (tackle by Ifeanyi Ohalete),0.280,0.810
2,13:08,2,2,NYG 28,7,3,Tiki Barber up the middle for 5 yards (tackle by James Darling),0.810,1.140
2,12:28,1,10,NYG 33,7,3,Kurt Warner pass incomplete intended for Amani Toomer,1.140,0.590
2,12:22,2,10,NYG 33,7,3,Tiki Barber up the middle for 17 yards (tackle by Ifeanyi Ohalete),0.590,2.260
2,11:40,1,10,ARI 50,7,3,Kurt Warner pass incomplete intended for Jeremy Shockey,2.260,1.710
2,11:34,2,10,ARI 50,7,3,Ron Dayne left end for 9 yards (tackle by Ifeanyi Ohalete and Ronald McKinnon),1.710,2.210
2,10:54,3,1,ARI 41,7,3,Kurt Warner up the middle for 2 yards (tackle by Russell Davis),2.210,2.980
2,10:16,1,10,ARI 39,7,3,Tiki Barber up the middle for 16 yards (tackle by Renaldo Hill and Ifeanyi Ohalete),2.980,4.040
2,9:30,1,10,ARI 23,7,3,Kurt Warner pass complete to Amani Toomer for 21 yards (tackle by Renaldo Hill),4.040,6.740
2,9:07,1,2,ARI 2,13,3,"Tiki Barber up the middle for 2 yards, touchdown",6.740,7.000
2,,,,ARI 2,14,3,Steve Christie kicks extra point good,0.000,0.000
2,,,,NYG 30,14,3,"Steve Christie kicks off 70 yards, returned by Josh Scobey for 22 yards (tackle by Derrick Ward)",0.000,0.410
2,8:57,1,10,ARI 22,14,3,Josh McCown pass complete to Bryant Johnson for 14 yards (tackle by Will Allen),0.410,1.330
2,8:23,1,10,ARI 36,14,3,Troy Hambrick left tackle for 4 yards (tackle by Reggie Torbor and Fred Robbins),1.330,1.330
2,7:45,2,6,ARI 40,14,3,Josh McCown pass incomplete intended for Karl Williams,1.330,0.630
2,7:40,3,6,ARI 40,14,3,Josh McCown pass incomplete intended for Larry Fitzgerald,0.630,-0.720
2,7:36,4,6,ARI 40,14,3,"Scott Player punts 51 yards, returned by Mark Jones for 11 yards (tackle by Michael Stone)",-0.720,-0.280
2,7:26,1,10,NYG 20,14,3,Tiki Barber right tackle for 2 yards (tackle by Adrian Wilson),0.280,0.000
2,6:43,2,8,NYG 22,14,3,Kurt Warner up the middle for 4 yards (tackle by Darnell Dockett),0.000,-0.160
2,5:57,3,4,NYG 26,14,3,Kurt Warner pass complete to Jamaar Taylor for 9 yards (tackle by Russell Davis),-0.160,1.270
2,5:14,1,10,NYG 35,14,3,Kurt Warner sacked by Bertrand Berry for -6 yards,1.270,-0.090
2,4:40,2,16,NYG 29,14,3,Tiki Barber right end for 4 yards (tackle by Raynoch Thompson),-0.090,-0.230
2,3:56,3,12,NYG 33,14,3,Kurt Warner sacked by Karlos Dansby for -5 yards,-0.230,-1.500
2,3:28,4,17,NYG 28,14,3,"Jeff Feagles punts 47 yards, returned by Karl Williams for 7 yards (tackle by Jim Maxwell)",-1.500,-1.070
2,3:18,1,10,ARI 32,14,3,Josh McCown pass complete to Anquan Boldin for 9 yards (tackle by Curtis DeLoatch),1.070,1.740
2,2:57,2,1,ARI 41,14,3,Emmitt Smith right tackle for 3 yards (tackle by Lorenzo Bromell),1.740,1.860
2,2:18,1,10,ARI 44,14,3,Josh McCown pass incomplete intended for Bryant Johnson,1.860,1.320
2,2:14,2,10,ARI 44,14,3,Emmitt Smith right tackle for 4 yards (tackle by Gibril Wilson),1.320,1.160
2,2:00,3,6,ARI 48,14,3,"Penalty on Alex Stepanovich: False Start, 5 yards (no play)",1.160,0.500
2,2:00,3,11,ARI 43,14,3,Josh McCown pass complete to Obafemi Ayanbadejo for 16 yards (tackle by Reggie Torbor),0.500,2.850
2,1:53,1,10,NYG 41,14,3,"Josh McCown pass incomplete intended for Larry Fitzgerald. Penalty on Brent Alexander: Defensive Holding, 5 yards (no play)",2.850,3.180
2,1:48,1,10,NYG 36,14,3,Emmitt Smith left end for 6 yards (tackle by Nick Greisen and Reggie Torbor),3.180,3.450
2,1:11,2,4,NYG 30,14,3,Obafemi Ayanbadejo right tackle for no gain (tackle by Osi Umenyiora and Fred Robbins),3.450,2.740
2,0:59,,,,14,3,Timeout #1 by Arizona Cardinals,0.000,2.740
2,0:59,3,4,NYG 30,14,3,Josh McCown left tackle for 6 yards (tackle by Gibril Wilson and Nick Greisen),2.740,3.970
2,0:50,,,,14,3,Timeout #2 by New York Giants,0.000,3.970
2,0:50,1,10,NYG 24,14,3,"Josh McCown pass incomplete intended for Anquan Boldin. Penalty on Will Allen: Defensive Pass Interference, 22 yards (no play)",3.970,6.740
2,0:44,1,2,NYG 2,14,9,"Emmitt Smith up the middle for 2 yards, touchdown",6.740,7.000
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
2,,,,NYG 2,14,10,Neil Rackers kicks extra point good,0.000,0.000
2,,,,ARI 30,14,10,"Neil Rackers kicks off 60 yards, returned by Ron Dayne for 11 yards (tackle by Ifeanyi Ohalete). Penalty on Brandon Winey: Unnecessary Roughness, 10 yards",0.000,-0.370
2,0:34,1,10,NYG 11,14,10,Tiki Barber up the middle for 9 yards (tackle by Bertrand Berry),-0.370,0.360
Quarter,Time,Down,ToGo,Location,NYG,ARI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ARI 30,14,10,"Neil Rackers kicks off 78 yards, touchback",0.000,0.280
3,15:00,1,10,NYG 20,14,10,Tiki Barber up the middle for 15 yards (tackle by James Darling),0.280,1.270
3,14:35,1,10,NYG 35,14,10,Tiki Barber left end for 1 yard (tackle by Adrian Wilson),1.270,0.860
3,14:03,2,9,NYG 36,14,10,Kurt Warner pass complete to Tiki Barber for 20 yards (tackle by David Macklin),0.860,2.650
3,13:18,1,10,ARI 44,14,10,Ron Dayne up the middle for 7 yards (tackle by Kyle Vanden Bosch),2.650,3.060
3,12:40,2,3,ARI 37,14,10,"Ron Dayne up the middle for 12 yards (tackle by Ifeanyi Ohalete). Penalty on Shaun O'Hara: Offensive Holding, 10 yards (no play)",3.060,1.710
3,12:12,2,13,ARI 47,14,10,Kurt Warner pass complete to Amani Toomer for 7 yards (tackle by David Macklin),1.710,1.950
3,11:31,3,6,ARI 40,14,10,Kurt Warner pass complete to Tiki Barber for 5 yards (tackle by James Darling),1.950,1.000
3,10:51,4,1,ARI 35,14,10,Kurt Warner up the middle for 2 yards (tackle by Russell Davis),1.000,3.380
3,10:03,1,10,ARI 33,14,10,Tiki Barber up the middle for 2 yards (tackle by Adrian Wilson and Peppi Zellner),3.380,3.110
3,9:26,2,8,ARI 31,14,10,Kurt Warner sacked by Bertrand Berry for -5 yards,3.110,1.750
3,8:48,3,13,ARI 36,14,10,Kurt Warner pass complete to Tiki Barber for 10 yards (tackle by David Macklin),1.750,1.840
3,8:06,4,3,ARI 26,14,10,"Steve Christie 44 yard field goal no good, blocked by Ronald McKinnon",1.840,-1.200
3,8:01,1,10,ARI 34,14,10,"Penalty on Josh McCown: Delay of Game, 5 yards (no play)",1.200,0.870
3,8:01,1,15,ARI 29,14,10,Josh McCown pass complete to Bryant Johnson for 7 yards (tackle by Will Allen),0.870,0.930
3,7:41,2,8,ARI 36,14,10,Josh McCown pass complete to Anquan Boldin for 6 yards (tackle by Will Allen),0.930,1.030
3,6:58,3,2,ARI 42,14,10,Josh McCown pass incomplete intended for Larry Fitzgerald (defended by Will Allen),1.030,-0.590
3,6:48,4,2,ARI 42,14,10,"Scott Player punts 40 yards, returned by Mark Jones for 7 yards (tackle by Karlos Dansby)",-0.590,-0.610
3,6:39,1,10,NYG 25,14,10,Tiki Barber up the middle for no gain (tackle by Adrian Wilson),0.610,0.060
3,5:59,2,10,NYG 25,14,10,Kurt Warner pass incomplete intended for Amani Toomer,0.060,-0.620
3,5:53,3,10,NYG 25,14,10,Kurt Warner sacked by Karlos Dansby for -5 yards,-0.620,-2.030
3,5:34,4,15,NYG 20,14,10,"Jeff Feagles punts 55 yards, returned by Karl Williams for 38 yards (tackle by Jeff Feagles)",-2.030,-3.120
3,5:20,1,10,NYG 37,14,10,Emmitt Smith left tackle for 11 yards (tackle by Nick Greisen),3.120,3.840
3,4:47,1,10,NYG 26,14,10,Emmitt Smith left end for no gain (tackle by Nick Greisen),3.840,3.300
3,4:16,2,10,NYG 26,14,10,"Josh McCown sacked by Reggie Torbor for -12 yards. Penalty on Will Allen: Illegal Use of Hands, 5 yards (no play)",3.300,4.170
3,3:59,1,10,NYG 21,14,10,Emmitt Smith up the middle for 9 yards (tackle by William Joseph),4.170,5.160
3,3:23,2,1,NYG 12,14,10,Emmitt Smith left tackle for 7 yards (tackle by Carlos Emmons),5.160,6.060
3,2:38,1,5,NYG 5,14,10,Emmitt Smith right tackle for no gain (tackle by Fred Robbins),6.060,5.150
3,2:03,2,5,NYG 5,14,10,"Josh McCown pass incomplete intended for Anquan Boldin. Penalty on Larry Fitzgerald: Illegal Shift, 5 yards (no play)",5.150,4.190
3,1:59,2,10,NYG 10,14,10,Obafemi Ayanbadejo up the middle for 7 yards (tackle by Brent Alexander and Osi Umenyiora),4.190,4.720
3,1:19,3,3,NYG 3,14,16,"Emmitt Smith up the middle for 3 yards, touchdown",4.720,7.000
3,,,,NYG 2,14,17,Neil Rackers kicks extra point good,0.000,0.000
3,,,,ARI 30,14,17,"Neil Rackers kicks off 68 yards, returned by Derrick Ward for 28 yards (tackle by Robert Tate)",0.000,0.940
3,1:02,1,10,NYG 30,14,17,Kurt Warner pass complete to Amani Toomer for 8 yards (tackle by Duane Starks),0.940,1.470
3,0:28,2,2,NYG 38,14,17,Tiki Barber left tackle for 8 yards (tackle by James Darling),1.470,1.990
Quarter,Time,Down,ToGo,Location,NYG,ARI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,NYG 46,14,17,Tiki Barber up the middle for -3 yards (tackle by Bertrand Berry),1.990,1.050
4,14:23,2,13,NYG 43,14,17,"Tiki Barber right end for -1 yards (tackle by James Darling and Russell Davis). Penalty on Jeremy Shockey: Offensive Holding, 10 yards (no play)",1.050,-0.310
4,14:00,2,23,NYG 33,14,17,Kurt Warner pass complete to Amani Toomer for 10 yards (tackle by David Macklin),-0.310,0.370
4,13:27,3,13,NYG 43,14,17,Kurt Warner pass complete to Amani Toomer for 9 yards (tackle by David Macklin),0.370,0.070
4,12:50,4,4,ARI 48,14,17,"Jeff Feagles punts 34 yards, returned by Karl Williams for 3 yards (tackle by Curtis DeLoatch)",0.070,0.060
4,12:41,1,10,ARI 17,14,17,Troy Hambrick up the middle for 5 yards (tackle by Reggie Torbor),-0.060,0.210
4,12:13,2,5,ARI 22,14,17,Troy Hambrick up the middle for 7 yards (tackle by Gibril Wilson),0.210,0.870
4,11:41,1,10,ARI 29,14,17,Troy Hambrick left tackle for no gain (tackle by William Joseph),0.870,0.330
4,11:06,2,10,ARI 29,14,17,Troy Hambrick right tackle for 5 yards (tackle by Fred Robbins),0.330,0.300
4,10:23,3,5,ARI 34,14,17,Josh McCown pass incomplete intended for Anquan Boldin. Penalty on Alex Stepanovich: Offensive Holding (Declined),0.300,-1.110
4,10:19,4,5,ARI 34,14,17,Scott Player punts 47 yards,-1.110,-0.150
4,10:07,1,10,NYG 19,14,17,Tiki Barber right tackle for -2 yards (tackle by Adrian Wilson and Ronald McKinnon),0.150,-0.720
4,9:29,2,12,NYG 17,14,17,Kurt Warner pass incomplete intended for Amani Toomer (defended by Russell Davis),-0.720,-1.420
4,9:23,3,12,NYG 17,14,17,Kurt Warner pass incomplete intended for Jamaar Taylor (defended by Ifeanyi Ohalete),-1.420,-2.320
4,9:16,4,12,NYG 17,14,17,"Jeff Feagles punts 55 yards, returned by Karl Williams for 4 yards (tackle by Nick Greisen)",-2.320,-1.070
4,9:03,1,10,ARI 32,14,17,Josh McCown pass incomplete intended for Larry Fitzgerald (defended by Will Allen),1.070,0.530
4,8:57,2,10,ARI 32,14,17,Josh McCown pass incomplete intended for Bryant Johnson,0.530,-0.160
4,8:53,3,10,ARI 32,14,17,Josh McCown pass incomplete intended for Larry Fitzgerald,-0.160,-1.240
4,8:48,4,10,ARI 32,14,17,"Scott Player punts 43 yards, returned by Mark Jones for no gain. Penalty on Curtis DeLoatch: Illegal Block Above the Waist, 10 yards",-1.240,0.220
4,8:38,1,10,NYG 15,14,17,"Kurt Warner pass incomplete intended for Jeremy Shockey. Penalty on Jeremy Shockey: Illegal Motion, 5 yards (no play)",-0.220,-0.570
4,8:32,1,15,NYG 10,14,17,Tiki Barber left tackle for 5 yards (tackle by Renaldo Hill),-0.570,-0.710
4,8:01,2,10,NYG 15,14,17,Kurt Warner pass incomplete intended for Ike Hilliard (defended by Darnell Dockett),-0.710,-1.370
4,7:57,3,10,NYG 15,14,17,Kurt Warner pass complete to Amani Toomer for 15 yards (tackle by David Macklin),-1.370,0.940
4,7:25,1,10,NYG 30,14,17,Kurt Warner sacked by Bertrand Berry for -4 yards,0.940,-0.150
4,6:54,2,14,NYG 26,14,17,Kurt Warner pass incomplete intended for Jamaar Taylor,-0.150,-0.820
4,6:48,3,14,NYG 26,14,17,Kurt Warner pass complete to Jeremy Shockey for 9 yards (tackle by Quentin Harris),-0.820,-1.040
4,6:10,4,5,NYG 35,14,17,Jeff Feagles pass incomplete,-1.040,-3.250
4,6:04,1,10,NYG 35,14,17,Emmitt Smith up the middle for 8 yards (tackle by Gibril Wilson and Kevin Lewis),3.250,3.780
4,5:18,2,2,NYG 27,14,17,Troy Hambrick left tackle for 1 yard (tackle by Nick Greisen),3.780,3.200
4,4:40,3,1,NYG 26,14,17,Troy Hambrick right tackle for no gain (tackle by Lance LeGree and Will Allen),3.200,1.890
4,3:58,4,1,NYG 26,14,17,"Emmitt Smith left tackle for -3 yards (tackle by Reggie Torbor). Emmitt Smith fumbles (forced by Reggie Torbor), recovered by Emmitt Smith at NYG-29",1.890,-0.940
4,3:53,1,10,NYG 30,14,17,Tiki Barber left tackle for 2 yards (tackle by Kyle Vanden Bosch),0.940,0.660
4,3:17,2,8,NYG 32,14,17,Kurt Warner sacked by Bertrand Berry for -7 yards,0.660,-0.960
4,2:44,3,15,NYG 25,14,17,Kurt Warner pass incomplete intended for Tiki Barber,-0.960,-1.700
4,2:40,4,15,NYG 25,14,17,"Jeff Feagles punts 43 yards, returned by Karl Williams for 13 yards (tackle by Frank Walker)",-1.700,-1.930
4,2:32,1,10,ARI 45,14,17,Emmitt Smith left end for 4 yards (tackle by Brent Alexander),1.930,1.920
4,2:24,,,,14,17,Timeout #1 by New York Giants,0.000,1.920
4,2:24,2,6,ARI 49,14,17,Emmitt Smith up the middle for 1 yard (tackle by Norman Hand and Fred Robbins),1.920,1.360
4,2:18,,,,14,17,Timeout #2 by New York Giants,0.000,1.360
4,2:18,3,5,ARI 50,14,17,Josh McCown sacked by Lance LeGree for -10 yards,1.360,-0.720
4,1:58,4,15,ARI 40,14,17,"Scott Player punts 48 yards, returned by Mark Jones for -1 yards (tackle by Michael Stone). Penalty on Marcellus Rivers: Running Into the Kicker (Declined)",-0.720,0.370
4,1:51,1,10,NYG 11,14,17,Kurt Warner pass complete to Tiki Barber for 9 yards (tackle by David Macklin),-0.370,0.360
4,1:46,2,1,NYG 20,14,17,Kurt Warner pass complete to Jeremy Shockey for 5 yards (tackle by Duane Starks),0.360,0.610
4,1:25,1,10,NYG 25,14,17,Kurt Warner pass complete to Jeremy Shockey for 8 yards (tackle by Duane Starks),0.610,1.140
4,1:19,2,2,NYG 33,14,17,Kurt Warner pass incomplete intended for Amani Toomer (defended by Adrian Wilson),1.140,0.430
4,1:15,,,,14,17,Timeout #3 by New York Giants,0.000,0.430
4,1:15,3,2,NYG 33,14,17,Kurt Warner pass incomplete intended for Ike Hilliard (defended by Ifeanyi Ohalete),0.430,-1.180
4,1:09,4,2,NYG 33,14,17,Kurt Warner pass incomplete intended for Amani Toomer (defended by Karlos Dansby),-1.180,-3.380
4,1:04,1,10,NYG 33,14,17,Josh McCown kneels for -2 yards,3.380,2.570
4,0:29,2,12,NYG 35,14,17,Josh McCown kneels for -1 yards,2.570,1.750
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
