Quarter,Time,Tm,Detail,NYG,ARI
1.0,3:38,Giants,Jeremy Shockey 2 yard pass from Kurt Warner (Steve Christie kick),7,0
2.0,13:36,Cardinals,Neil Rackers 41 yard field goal,7,3
,9:03,Giants,Tiki Barber 2 yard rush (Steve Christie kick),14,3
,0:39,Cardinals,Emmitt Smith 2 yard rush (Neil Rackers kick),14,10
3.0,1:09,Cardinals,Emmitt Smith 3 yard rush (Neil Rackers kick),14,17
