Quarter,Time,Tm,Detail,SDG,DAL
1.0,8:36,Cowboys,Nick Folk 31 yard field goal,0,3
,4:30,Chargers,LaDainian Tomlinson 1 yard rush (Nate Kaeding kick),7,3
2.0,10:18,Chargers,Nate Kaeding 29 yard field goal,10,3
3.0,0:00,Cowboys,Miles Austin 6 yard pass from Tony Romo (Nick Folk kick),10,10
4.0,10:56,Chargers,Antonio Gates 14 yard pass from Philip Rivers (Nate Kaeding kick),17,10
,1:56,Chargers,Nate Kaeding 34 yard field goal,20,10
,0:02,Cowboys,Patrick Crayton 9 yard pass from Tony Romo (Nick Folk kick),20,17
