Quarter,Time,Down,ToGo,Location,SDG,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,SDG 30,0,0,"Nate Kaeding kicks off 65 yards, returned by Felix Jones for 41 yards (tackle by James Holt)",0.000,1.990
1,14:51,1,10,DAL 46,0,0,Tony Romo pass complete short middle to Jason Witten for 6 yards (tackle by Stephen Cooper),1.990,2.260
1,14:15,2,4,SDG 48,0,0,Marion Barber middle for 7 yards (tackle by Paul Oliver),2.260,2.850
1,13:42,1,10,SDG 41,0,0,Marion Barber middle for 3 yards (tackle by Luis Castillo),2.850,2.710
1,13:42,2,7,SDG 38,0,0,"Penalty on Miles Austin: False Start, 5 yards (no play)",2.710,2.040
1,12:39,2,12,SDG 43,0,0,"Tony Romo pass complete short right to Deon Anderson for 4 yards (tackle by Shaun Phillips). Penalty on Kyle Kosier: Illegal Use of Hands, 10 yards (no play)",2.040,0.690
1,11:51,2,22,DAL 47,0,0,Tony Romo pass complete short right to Miles Austin for 18 yards (tackle by Steve Gregory),0.690,2.410
1,11:03,3,4,SDG 35,0,0,Tony Romo pass incomplete short middle intended for Jason Witten (defended by Kevin Ellison),2.410,0.980
1,10:59,4,4,SDG 35,0,0,Tony Romo pass complete deep right to Roy Williams for 19 yards (tackle by Steve Gregory),0.980,4.510
1,10:15,1,10,SDG 16,0,0,Marion Barber middle for -3 yards (tackle by Brandon Siler),4.510,3.520
1,9:33,2,13,SDG 19,0,0,Tony Romo pass complete short right to Miles Austin for 6 yards (tackle by Stephen Cooper and Paul Oliver),3.520,3.540
1,8:46,3,7,SDG 13,0,0,Tony Romo pass incomplete short middle intended for John Phillips (defended by Paul Oliver),3.540,2.570
1,8:38,4,7,SDG 13,0,3,Nick Folk 31 yard field goal good,2.570,3.000
1,,,,DAL 30,0,3,"David Buehler kicks off 68 yards, returned by Darren Sproles for 14 yards (tackle by Sam Hurd)",0.000,-0.140
1,8:31,1,10,SDG 16,0,3,Philip Rivers pass complete short left to Mike Tolbert for -2 yards (tackle by DeMarcus Ware),-0.140,-0.890
1,7:51,2,12,SDG 14,0,3,LaDainian Tomlinson right tackle for no gain (tackle by DeMarcus Ware),-0.890,-1.610
1,7:13,3,12,SDG 14,0,3,Philip Rivers pass complete deep right to Malcom Floyd for 24 yards,-1.610,1.470
1,6:42,1,10,SDG 38,0,3,Philip Rivers pass complete short left to Kris Wilson for 21 yards (tackle by Keith Brooking),1.470,2.850
1,5:56,1,10,DAL 41,0,3,LaDainian Tomlinson middle for 1 yard (tackle by Igor Olshansky),2.850,2.440
1,5:18,2,9,DAL 40,0,3,"Philip Rivers pass incomplete deep left intended for Malcom Floyd. Penalty on Gerald Sensabaugh: Defensive Pass Interfere, 38 yards (no play)",2.440,6.740
1,5:10,1,2,DAL 2,0,3,LaDainian Tomlinson right tackle for 1 yard (tackle by Anthony Spencer),6.740,5.910
1,4:34,2,1,DAL 1,6,3,"LaDainian Tomlinson right guard for 1 yard, touchdown",5.910,7.000
1,,,,DAL 2,7,3,Nate Kaeding kicks extra point good,0.000,0.000
1,,,,SDG 30,7,3,"Nate Kaeding kicks off 70 yards, touchback",0.000,0.280
1,4:30,1,10,DAL 20,7,3,Tony Romo sacked by Brandon Siler for -10 yards,0.280,-1.510
1,3:55,2,20,DAL 10,7,3,Tony Romo pass complete short left to Felix Jones for 2 yards (tackle by Kevin Burnett),-1.510,-2.360
1,3:07,3,18,DAL 12,7,3,Tony Romo pass complete short left to Roy Williams for 14 yards (tackle by Antonio Cromartie),-2.360,-1.630
1,2:23,4,4,DAL 26,7,3,"Mat McBriar punts 49 yards, fair catch by Darren Sproles",-1.630,-0.610
1,2:16,1,10,SDG 25,7,3,Philip Rivers pass complete short middle to Antonio Gates for 7 yards (tackle by Jason Hatcher and Alan Ball),0.610,1.010
1,1:37,2,3,SDG 32,7,3,"Penalty on Antonio Gates: False Start, 5 yards (no play)",1.010,0.330
1,1:14,2,8,SDG 27,7,3,Philip Rivers pass incomplete short middle intended for Vincent Jackson (defended by Terence Newman),0.330,-0.360
1,1:11,3,8,SDG 27,7,3,Philip Rivers pass complete deep left to Vincent Jackson for 33 yards (tackle by Mike Jenkins),-0.360,2.920
1,0:57,1,10,DAL 40,7,3,LaDainian Tomlinson middle for 6 yards (tackle by Keith Brooking),2.920,3.180
1,0:19,2,4,DAL 34,7,3,LaDainian Tomlinson middle for 1 yard (tackle by Anthony Spencer),3.180,2.610
Quarter,Time,Down,ToGo,Location,SDG,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,3,DAL 33,7,3,Darren Sproles middle for 2 yards (tackle by Keith Brooking),2.610,1.410
2,14:14,4,1,DAL 31,7,3,Philip Rivers middle for 1 yard (tackle by Keith Brooking and Bradie James),1.410,3.580
2,13:55,1,10,DAL 30,7,3,Philip Rivers pass incomplete deep left intended for Vincent Jackson,3.580,3.030
2,13:55,2,10,DAL 30,7,3,"Penalty on Jay Ratliff: Encroachment, 5 yards (no play)",3.030,3.710
2,13:46,2,5,DAL 25,7,3,LaDainian Tomlinson middle for -1 yards (tackle by Marcus Spears),3.710,2.870
2,13:02,3,6,DAL 26,7,3,Philip Rivers pass complete short left to Malcom Floyd for 7 yards (tackle by Mike Jenkins),2.870,4.310
2,12:24,1,10,DAL 19,7,3,Darren Sproles middle for 2 yards (tackle by Marcus Spears),4.310,4.030
2,11:47,2,8,DAL 17,7,3,LaDainian Tomlinson right guard for 5 yards (tackle by Anthony Spencer and Stephen Bowen),4.030,4.190
2,11:05,3,3,DAL 12,7,3,Philip Rivers pass complete short middle to Vincent Jackson for 1 yard (tackle by DeMarcus Ware),4.190,2.820
2,11:05,4,2,DAL 11,10,3,Nate Kaeding 29 yard field goal good,2.820,3.000
2,,,,SDG 30,10,3,"Nate Kaeding kicks off 66 yards, returned by Felix Jones for 23 yards (tackle by James Holt)",0.000,0.740
2,10:10,1,10,DAL 27,10,3,Felix Jones middle for 12 yards (tackle by Steve Gregory),0.740,1.530
2,9:37,1,10,DAL 39,10,3,Felix Jones left end for 12 yards (tackle by Paul Oliver),1.530,2.320
2,8:58,1,10,SDG 49,10,3,Felix Jones right tackle for 5 yards (tackle by Shaun Phillips),2.320,2.460
2,8:19,2,5,SDG 44,10,3,Marion Barber middle for 8 yards (tackle by Kevin Ellison),2.460,3.180
2,7:45,1,10,SDG 36,10,3,Marion Barber left tackle for 5 yards (tackle by Travis Johnson),3.180,3.310
2,7:02,2,5,SDG 31,10,3,Tony Romo pass incomplete short left intended for Roy Williams (defended by Antonio Cromartie),3.310,2.610
2,6:57,3,5,SDG 31,10,3,Tashard Choice left tackle for 5 yards (tackle by Luis Castillo and Kevin Burnett),2.610,3.840
2,6:14,1,10,SDG 26,10,3,Tashard Choice left tackle for 6 yards (tackle by Shawne Merriman),3.840,4.110
