Unnamed: 0,SDG,DAL
First Downs,21,22
Rush-Yds-TDs,31-73-1,27-108-0
Cmp-Att-Yd-TD-INT,21-32-272-1-1,19-30-249-2-0
Sacked-Yards,1-4,1-10
Net Pass Yards,268,239
Total Yards,341,347
Fumbles-Lost,0-0,1-0
Turnovers,1,0
Penalties-Yards,5-24,6-68
Third Down Conv.,5-12,1-8
Fourth Down Conv.,1-1,1-2
Time of Possession,30:05,29:55
