Quarter,Time,Tm,Detail,NOR,PHI
1.0,3:35,Saints,Ben Watson 6 yard pass from Drew Brees (Zach Hocker kick),7,0
2.0,11:43,Eagles,Josh Huff 41 yard pass from Sam Bradford (Caleb Sturgis kick),7,7
,0:10,Eagles,Caleb Sturgis 39 yard field goal,7,10
3.0,11:12,Saints,Zach Hocker 21 yard field goal,10,10
,6:44,Eagles,Ryan Mathews 2 yard rush (Caleb Sturgis kick),10,17
,6:31,Eagles,Brent Celek 13 yard pass from Sam Bradford (Caleb Sturgis kick failed),10,23
,0:31,Eagles,Caleb Sturgis 29 yard field goal,10,26
4.0,10:11,Eagles,Caleb Sturgis 26 yard field goal,10,29
,4:19,Eagles,Caleb Sturgis 41 yard field goal,10,32
,3:44,Eagles,DeMarco Murray 4 yard rush (Caleb Sturgis kick),10,39
,0:00,Saints,Brandin Cooks 14 yard pass from Drew Brees (Zach Hocker kick),17,39
