Unnamed: 0,NOR,PHI
First Downs,19,34
Rush-Yds-TDs,21-96-0,34-186-2
Cmp-Att-Yd-TD-INT,26-43-335-2-1,32-45-333-2-2
Sacked-Yards,5-43,0-0
Net Pass Yards,292,333
Total Yards,388,519
Fumbles-Lost,3-3,0-0
Turnovers,4,2
Penalties-Yards,7-78,4-35
Third Down Conv.,8-16,4-11
Fourth Down Conv.,1-1,0-2
Time of Possession,25:58,34:02
