Quarter,Time,Tm,Detail,BUF,KAN
2,1:28,Chiefs,Dwayne Bowe 1 yard pass from Matt Cassel (Ryan Succop kick),0,7
3,6:03,Bills,Rian Lindell 43 yard field goal,3,7
4,9:36,Chiefs,Ryan Succop 28 yard field goal,3,10
,2:18,Bills,Stevie Johnson 4 yard pass from Ryan Fitzpatrick (Rian Lindell kick),10,10
OT,0:00,Chiefs,Ryan Succop 35 yard field goal,10,13
