Unnamed: 0,BUF,KAN
First Downs,23,24
Rush-Yds-TDs,33-137-0,45-274-0
Cmp-Att-Yd-TD-INT,24-48-223-1-1,14-26-152-1-0
Sacked-Yards,3-32,3-12
Net Pass Yards,191,140
Total Yards,328,414
Fumbles-Lost,3-0,0-0
Turnovers,1,0
Penalties-Yards,5-35,5-50
Third Down Conv.,11-23,4-15
Fourth Down Conv.,1-2,1-2
Time of Possession,39:22,35:38
