Quarter,Time,Down,ToGo,Location,BUF,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bills won the coin toss and deferred, Chiefs to receive the opening kickoff.",,
1,15:00,,,BUF 30,0,0,"Rian Lindell kicks off 70 yards, returned by Javier Arenas for 25 yards (tackle by Bryan Scott). Penalty on Corey Mays: Offensive Holding, 10 yards",0.000,-0.220
1,14:54,1,10,KAN 15,0,0,Thomas Jones right end for 4 yards (tackle by Dwan Edwards and Paul Posluszny),-0.220,-0.110
1,14:22,2,6,KAN 19,0,0,Matt Cassel pass complete short middle to Leonard Pope for 14 yards (tackle by George Wilson),-0.110,1.140
1,13:44,1,10,KAN 33,0,0,Jamaal Charles left tackle for 32 yards (tackle by Leodis McKelvin),1.140,3.250
1,13:13,1,10,BUF 35,0,0,Matt Cassel pass incomplete deep middle intended for Dwayne Bowe (defended by Drayton Florence),3.250,2.700
1,13:05,2,10,BUF 35,0,0,Thomas Jones middle for 2 yards (tackle by Andra Davis and Kyle Williams),2.700,2.280
1,12:28,3,8,BUF 33,0,0,Matt Cassel pass incomplete short left intended for Dwayne Bowe,2.280,1.150
1,12:20,4,8,BUF 33,0,0,"Dustin Colquitt punts 33 yards, touchback",1.150,-0.280
1,12:12,1,10,BUF 20,0,0,Ryan Fitzpatrick pass incomplete short right intended for Roscoe Parrish (defended by Derrick Johnson),0.280,-0.270
1,12:08,2,10,BUF 20,0,0,Ryan Fitzpatrick pass incomplete short right intended for Roscoe Parrish,-0.270,-0.960
1,12:04,3,10,BUF 20,0,0,Ryan Fitzpatrick pass complete short left to Steve Johnson for 12 yards (tackle by Brandon Carr),-0.960,1.070
1,11:26,1,10,BUF 32,0,0,Fred Jackson right tackle for -1 yards (tackle by Jovan Belcher),1.070,0.390
1,10:52,2,11,BUF 31,0,0,Ryan Fitzpatrick pass incomplete short right intended for Steve Johnson,0.390,-0.290
1,10:48,3,11,BUF 31,0,0,Ryan Fitzpatrick pass complete short left to Roscoe Parrish for 14 yards (tackle by Eric Berry and Brandon Carr),-0.290,1.930
1,10:11,1,10,BUF 45,0,0,Fred Jackson middle for 2 yards (tackle by Andy Studebaker and Mike Vrabel),1.930,1.650
1,9:26,2,8,BUF 47,0,0,Ryan Fitzpatrick pass complete short right to C.J. Spiller for 4 yards (tackle by Mike Vrabel),1.650,1.490
1,8:47,3,4,KAN 49,0,0,Ryan Fitzpatrick sacked by Andy Studebaker and Tamba Hali for -9 yards,1.490,-0.590
1,8:16,4,13,BUF 42,0,0,"Brian Moorman punts 37 yards, returned by Javier Arenas for 10 yards (tackle by Shawn Nelson)",-0.590,-1.000
1,8:05,1,10,KAN 31,0,0,Jamaal Charles left guard for 3 yards (tackle by Paul Posluszny and Donte Whitner),1.000,0.870
1,7:31,2,7,KAN 34,0,0,Matt Cassel pass complete short right to Jamaal Charles for 7 yards (tackle by Andra Davis),0.870,1.660
1,7:00,1,10,KAN 41,0,0,Jamaal Charles middle for 6 yards (tackle by Leodis McKelvin),1.660,1.930
1,6:23,2,4,KAN 47,0,0,Thomas Jones right tackle for 1 yard (tackle by Paul Posluszny),1.930,1.360
1,5:41,3,3,KAN 48,0,0,Matt Cassel pass incomplete deep right intended for Jamaal Charles,1.360,-0.190
1,5:36,4,3,KAN 48,0,0,"Dustin Colquitt punts 43 yards, fair catch by Roscoe Parrish",-0.190,0.380
