Quarter,Time,Tm,Detail,GNB,MIN
1.0,13:58,Vikings,Visanthe Shiancoe 2 yard pass from Christian Ponder (Ryan Longwell kick),0,7
,8:34,Packers,John Kuhn 2 yard pass from Aaron Rodgers (Mason Crosby kick),7,7
2.0,11:43,Vikings,Adrian Peterson 1 yard rush (Ryan Longwell kick),7,14
,4:55,Packers,Mason Crosby 39 yard field goal,10,14
,0:55,Vikings,Ryan Longwell 52 yard field goal,10,17
,0:00,Packers,Mason Crosby 45 yard field goal,13,17
3.0,14:09,Packers,Greg Jennings 79 yard pass from Aaron Rodgers (Mason Crosby kick),20,17
,10:29,Packers,Jermichael Finley 2 yard pass from Aaron Rodgers (Mason Crosby kick),27,17
,3:18,Packers,Mason Crosby 24 yard field goal,30,17
,0:18,Packers,Mason Crosby 58 yard field goal,33,17
4.0,13:48,Vikings,Ryan Longwell 46 yard field goal,33,20
,7:49,Vikings,Michael Jenkins 24 yard pass from Christian Ponder (Ryan Longwell kick),33,27
