Quarter,Time,Down,ToGo,Location,GNB,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Packers won the coin toss and deferred, Vikings to receive the opening kickoff.",,
1,15:00,,,GNB 35,0,0,"Mason Crosby kicks off 66 yards, returned by Percy Harvin for 28 yards (tackle by Jordy Nelson)",0.000,0.740
1,14:55,1,10,MIN 27,0,0,Christian Ponder pass complete deep left to Michael Jenkins for 72 yards (tackle by Charlie Peprah),0.740,6.970
,,,,,,,"Replay Assistant challenged the ruling, and the original play was overturned.",,
1,14:34,1,1,GNB 1,0,0,Adrian Peterson right guard for -1 yards (tackle by A.J. Hawk),6.970,5.720
1,14:04,2,2,GNB 2,0,6,"Christian Ponder pass complete short right to Visanthe Shiancoe for 2 yards, touchdown",5.720,7.000
1,,,,GNB 2,0,7,Ryan Longwell kicks extra point good,0.000,0.000
1,,,,MIN 35,0,7,"Ryan Longwell kicks off 68 yards, returned by Randall Cobb for 21 yards (tackle by Eric Frampton). Penalty on M.D. Jennings: Illegal Block Above the Waist, 9 yards",0.000,-0.380
1,13:54,1,10,GNB 9,0,7,Ryan Grant up the middle for no gain (tackle by E.J. Henderson),-0.380,-0.780
1,13:16,2,10,GNB 9,0,7,Aaron Rodgers pass complete short right to Jermichael Finley for 11 yards (tackle by Chad Greenway),-0.780,0.280
1,12:36,1,10,GNB 20,0,7,Aaron Rodgers pass complete short right to Jordy Nelson for 14 yards (tackle by Asher Allen),0.280,1.200
1,12:04,1,10,GNB 34,0,7,Ryan Grant right end for 8 yards (tackle by Husain Abdullah and Asher Allen),1.200,1.740
1,11:28,2,2,GNB 42,0,7,Ryan Grant right end for 7 yards (tackle by Cedric Griffin),1.740,2.190
1,10:57,1,10,GNB 49,0,7,Aaron Rodgers pass complete deep right to Greg Jennings for 26 yards (tackle by Husain Abdullah),2.190,3.910
1,10:10,1,10,MIN 25,0,7,Aaron Rodgers pass complete short middle to James Jones for 16 yards (tackle by Tyrell Johnson),3.910,5.140
1,9:25,1,9,MIN 9,0,7,Aaron Rodgers pass complete short right to Randall Cobb for 7 yards (tackle by Asher Allen),5.140,5.720
1,8:39,2,2,MIN 2,6,7,"Aaron Rodgers pass complete short left to John Kuhn for 2 yards, touchdown",5.720,7.000
1,,,,MIN 2,7,7,Mason Crosby kicks extra point good,0.000,0.000
1,,,,GNB 35,7,7,"Mason Crosby kicks off 67 yards, returned by Percy Harvin for 27 yards (tackle by Ryan Taylor)",0.000,0.610
1,8:29,1,10,MIN 25,7,7,Adrian Peterson up the middle for 4 yards (tackle by A.J. Hawk),0.610,0.600
1,7:49,2,6,MIN 29,7,7,Christian Ponder pass complete short right to Devin Aromashodu for 13 yards (tackle by Jarrett Bush),0.600,1.730
1,7:10,1,10,MIN 42,7,7,Adrian Peterson left guard for 9 yards (tackle by Charles Woodson and Clay Matthews),1.730,2.400
1,6:30,2,1,GNB 49,7,7,Adrian Peterson up the middle for 2 yards (tackle by Desmond Bishop),2.400,2.460
1,5:51,1,10,GNB 47,7,7,Percy Harvin right end for 2 yards (tackle by Clay Matthews),2.460,2.180
1,5:04,2,8,GNB 45,7,7,Adrian Peterson left guard for 1 yard (tackle by Clay Matthews and Desmond Bishop),2.180,1.620
1,4:25,3,7,GNB 44,7,7,Christian Ponder pass incomplete short right intended for Lorenzo Booker,1.620,0.330
1,4:20,4,7,GNB 44,7,7,"Chris Kluwe punts 29 yards, fair catch by Randall Cobb",0.330,0.220
1,4:14,1,10,GNB 15,7,7,Aaron Rodgers pass complete short left to Greg Jennings for 15 yards (tackle by Cedric Griffin),-0.220,0.940
1,3:46,1,10,GNB 30,7,7,James Starks right guard for 16 yards (tackle by Tyrell Johnson),0.940,1.990
1,3:09,1,10,GNB 46,7,7,James Starks up the middle for -3 yards (tackle by Jared Allen),1.990,1.050
1,2:22,2,13,GNB 43,7,7,Aaron Rodgers pass complete short left to Greg Jennings for 11 yards (tackle by Cedric Griffin),1.050,1.820
1,1:44,3,2,MIN 46,7,7,Aaron Rodgers sacked by Jared Allen for -11 yards,1.820,-0.520
1,1:29,4,13,GNB 43,7,7,"Tim Masthay punts 49 yards, returned by Marcus Sherels for 2 yards (tackle by Patrick Lee). Penalty on Husain Abdullah: Illegal Block Above the Waist, 5 yards",-0.520,0.380
1,1:19,1,10,MIN 5,7,7,Christian Ponder pass incomplete short left intended for Michael Jenkins (defended by Jarrett Bush),-0.380,-0.780
1,1:13,2,10,MIN 5,7,7,Percy Harvin left guard for 6 yards (tackle by Charles Woodson),-0.780,-0.720
1,0:35,3,4,MIN 11,7,7,Christian Ponder pass incomplete short right intended for Percy Harvin (defended by Charles Woodson),-0.720,-2.490
1,0:31,4,4,MIN 11,7,7,"Chris Kluwe punts 36 yards, muffed catch by Randall Cobb, recovered by Toby Gerhart and returned for no gain",-2.490,2.260
1,0:22,1,10,,7,7,Adrian Peterson up the middle for 11 yards (tackle by Charlie Peprah),2.260,2.980
Quarter,Time,Down,ToGo,Location,GNB,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,GNB 39,7,7,Christian Ponder for 6 yards,2.980,3.250
2,14:27,2,4,GNB 33,7,7,Adrian Peterson up the middle for 1 yard (tackle by A.J. Hawk and B.J. Raji),3.250,2.680
2,13:43,3,3,GNB 32,7,7,Christian Ponder pass complete short left to Percy Harvin for 6 yards,2.680,3.840
2,13:16,1,10,GNB 26,7,7,Christian Ponder pass complete deep right to Michael Jenkins for 15 yards (tackle by Charlie Peprah),3.840,4.840
2,12:31,1,10,GNB 11,7,7,Adrian Peterson left end for 10 yards (tackle by Morgan Burnett),4.840,6.970
2,11:47,1,1,GNB 1,7,13,"Adrian Peterson right guard for 1 yard, touchdown",6.970,7.000
2,,,,GNB 2,7,14,Ryan Longwell kicks extra point good,0.000,0.000
2,,,,MIN 35,7,14,"Ryan Longwell kicks off 73 yards, touchback",0.000,0.280
2,11:43,1,10,GNB 20,7,14,Aaron Rodgers pass complete short middle to Andrew Quarless for 21 yards (tackle by Asher Allen),0.280,1.660
2,10:57,1,10,GNB 41,7,14,Aaron Rodgers pass complete short right to Greg Jennings for 4 yards (tackle by Marcus Sherels),1.660,1.660
2,10:17,2,6,GNB 45,7,14,Aaron Rodgers pass complete short left to James Jones for 15 yards (tackle by Husain Abdullah),1.660,2.920
2,9:26,1,10,MIN 40,7,14,James Starks right tackle for -2 yards (tackle by Brian Robison),2.920,2.100
2,8:49,2,12,MIN 42,7,14,James Starks up the middle for 7 yards (tackle by Chad Greenway and E.J. Henderson),2.100,2.340
2,8:07,3,5,MIN 35,7,14,Aaron Rodgers pass complete short right to Greg Jennings for 7 yards (tackle by Asher Allen),2.340,3.710
2,7:34,1,10,MIN 28,7,14,Ryan Grant right tackle for 3 yards (tackle by Brian Robison),3.710,3.570
2,6:56,2,7,MIN 25,7,14,"Aaron Rodgers pass incomplete short right intended for James Jones. Penalty on Asher Allen: Defensive Pass Interference, 10 yards (no play)",3.570,4.580
2,6:52,1,10,MIN 15,7,14,"Aaron Rodgers pass complete short right to James Starks for -1 yards (tackle by Tyrell Johnson). Penalty on Greg Jennings: Illegal Shift, 5 yards (no play)",4.580,4.240
2,6:19,1,15,MIN 20,7,14,Aaron Rodgers pass complete short left to Greg Jennings for 5 yards (tackle by Marcus Sherels and Cedric Griffin),4.240,3.950
2,5:41,2,10,MIN 15,7,14,Aaron Rodgers sacked by Jared Allen for -6 yards,3.950,2.540
2,5:03,3,16,MIN 21,7,14,Aaron Rodgers pass incomplete short middle intended for Randall Cobb,2.540,2.060
2,4:59,4,16,MIN 21,10,14,"Mason Crosby 39 yard field goal good. Penalty on Brian Robison: Unnecessary Roughness, 15 yards",2.060,3.000
2,,,,,10,14,"Mason Crosby kicks off 50 yards, touchback",0.000,0.280
2,4:55,1,10,MIN 20,10,14,Toby Gerhart right tackle for 4 yards (tackle by Ryan Pickett),0.280,0.270
2,4:16,2,6,MIN 24,10,14,Christian Ponder pass incomplete short right intended for Devin Aromashodu,0.270,-0.430
2,4:12,3,6,MIN 24,10,14,Christian Ponder pass complete short left to Visanthe Shiancoe for 9 yards (tackle by Desmond Bishop),-0.430,1.140
2,3:29,1,10,MIN 33,10,14,Christian Ponder pass complete short right to Adrian Peterson for no gain,1.140,0.590
2,3:01,2,10,MIN 33,10,14,Adrian Peterson left tackle for 2 yards (tackle by Clay Matthews),0.590,0.170
2,2:20,3,8,MIN 35,10,14,Christian Ponder pass complete short right to Percy Harvin for 9 yards (tackle by Tramon Williams),0.170,1.860
2,2:00,1,10,MIN 44,10,14,"Penalty on Steve Hutchinson: False Start, 5 yards (no play)",1.860,1.530
2,2:00,1,15,MIN 39,10,14,Adrian Peterson up the middle for 29 yards (tackle by Charles Woodson),1.530,3.450
2,1:52,1,10,GNB 32,10,14,Christian Ponder pass incomplete short middle intended for Lorenzo Booker,3.450,2.900
2,1:49,2,10,GNB 32,10,14,Christian Ponder sacked by Clay Matthews for -2 yards,2.900,1.950
2,1:04,3,12,GNB 34,10,14,Christian Ponder pass incomplete short right intended for Devin Aromashodu,1.950,1.060
2,1:00,4,12,GNB 34,10,17,Ryan Longwell 52 yard field goal good,1.060,3.000
2,,,,MIN 35,10,17,"Ryan Longwell kicks off 71 yards, touchback",0.000,0.280
2,0:55,1,10,GNB 20,10,17,Aaron Rodgers pass complete short right to James Starks for 13 yards (tackle by Asher Allen and Chad Greenway),0.280,1.140
2,0:44,,,,10,17,Timeout #1 by Green Bay Packers,0.000,1.140
2,0:44,1,10,GNB 33,10,17,"Aaron Rodgers pass complete short right to Jordy Nelson for 16 yards (tackle by Asher Allen). Penalty on Letroy Guion: Roughing the Passer, 15 yards",1.140,3.180
2,0:31,1,10,MIN 36,10,17,Aaron Rodgers pass complete short left to James Starks for 7 yards (tackle by Marcus Sherels),3.180,3.580
2,0:24,,,,10,17,Timeout #2 by Green Bay Packers,0.000,3.580
2,0:24,2,3,MIN 29,10,17,Aaron Rodgers pass complete short right to Jordy Nelson for 7 yards (tackle by Asher Allen),3.580,4.110
2,0:10,1,10,MIN 22,10,17,Aaron Rodgers spiked the ball,4.110,3.560
2,0:10,2,10,MIN 22,10,17,"Penalty on Aaron Rodgers: Delay of Game, 5 yards (no play)",3.560,2.890
2,0:10,2,15,MIN 27,10,17,Aaron Rodgers pass incomplete short right intended for James Starks (defended by Asher Allen),2.890,2.210
2,0:05,3,15,MIN 27,13,17,Mason Crosby 45 yard field goal good,2.210,3.000
Quarter,Time,Down,ToGo,Location,GNB,MIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIN 35,13,17,"Ryan Longwell kicks off 74 yards, touchback",0.000,0.280
