Unnamed: 0,GNB,MIN
First Downs,25,22
Rush-Yds-TDs,26-114-0,31-218-1
Cmp-Att-Yd-TD-INT,24-30-335-3-0,13-32-219-2-2
Sacked-Yards,4-28,2-2
Net Pass Yards,307,217
Total Yards,421,435
Fumbles-Lost,1-1,0-0
Turnovers,1,2
Penalties-Yards,6-44,9-91
Third Down Conv.,2-8,9-16
Fourth Down Conv.,0-0,0-0
Time of Possession,32:06,27:54
