Unnamed: 0,JAX,DEN
First Downs,21,11
Rush-Yds-TDs,47-186-1,18-47-1
Cmp-Att-Yd-TD-INT,14-20-154-1-0,16-23-222-1-1
Sacked-Yards,3-14,1-4
Net Pass Yards,140,218
Total Yards,326,265
Fumbles-Lost,2-2,2-2
Turnovers,2,3
Penalties-Yards,3-14,6-36
Third Down Conv.,8-16,4-8
Fourth Down Conv.,1-1,0-2
Time of Possession,38:42,21:18
