Quarter,Time,Tm,Detail,DEN,IND
1.0,6:48,Colts,Frank Gore 7 yard rush (Adam Vinatieri kick),0,7
2.0,12:13,Colts,Adam Vinatieri 43 yard field goal,0,10
,7:12,Colts,Jack Doyle 3 yard pass from Andrew Luck (Adam Vinatieri kick),0,17
,0:00,Broncos,Omar Bolden 83 yard punt return (Brandon McManus kick),7,17
3.0,11:27,Broncos,Emmanuel Sanders 64 yard pass from Peyton Manning (Brandon McManus kick),14,17
,4:57,Broncos,Brandon McManus 29 yard field goal,17,17
4.0,14:05,Colts,Ahmad Bradshaw 8 yard pass from Andrew Luck (Adam Vinatieri kick),17,24
,8:54,Broncos,Owen Daniels 1 yard pass from Peyton Manning (Brandon McManus kick),24,24
,6:13,Colts,Adam Vinatieri 55 yard field goal,24,27
