Unnamed: 0,DEN,IND
First Downs,16,27
Rush-Yds-TDs,14-35-0,40-120-1
Cmp-Att-Yd-TD-INT,21-36-281-2-2,21-36-252-2-0
Sacked-Yards,1-7,1-7
Net Pass Yards,274,245
Total Yards,309,365
Fumbles-Lost,0-0,0-0
Turnovers,2,0
Penalties-Yards,8-56,4-30
Third Down Conv.,6-12,12-20
Fourth Down Conv.,0-0,0-0
Time of Possession,21:21,38:39
