Quarter,Time,Down,ToGo,Location,CLE,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss, Broncos to receive the opening kickoff.",,
1,15:00,,,CLE 30,0,0,"Phil Dawson kicks off 72 yards, returned by Peyton Hillis for 24 yards (tackle by Blake Costanzo). Peyton Hillis fumbles (forced by Blake Costanzo), recovered by Blake Costanzo at DEN-22 (tackle by LaMont Jordan)",0.000,-4.110
1,14:55,1,10,DEN 22,0,0,Brady Quinn pass incomplete,4.110,3.560
1,14:50,2,10,DEN 22,0,0,Jamal Lewis middle for 1 yard (tackle by Andra Davis),3.560,3.010
1,14:22,3,9,DEN 21,0,0,Brady Quinn pass complete short middle to Braylon Edwards for 14 yards (tackle by Brian Dawkins),3.010,5.600
1,13:44,1,7,DEN 7,0,0,Jamal Lewis left guard for 1 yard (tackle by Kenny Peterson and Renaldo Hill),5.600,4.950
1,13:13,2,6,DEN 6,0,0,Jamal Lewis right guard for 2 yards (tackle by D.J. Williams),4.950,4.490
1,12:29,3,4,DEN 4,0,0,Brady Quinn pass incomplete short left intended for Mike Furrey,4.490,3.030
1,12:25,4,4,DEN 4,3,0,Phil Dawson 22 yard field goal good,3.030,3.000
1,,,,CLE 30,3,0,"Phil Dawson kicks off 70 yards, touchback",0.000,0.280
1,12:22,1,10,DEN 20,3,0,Kyle Orton pass complete deep right to Jabar Gaffney for 25 yards (tackle by Brandon McDonald),0.280,1.930
1,12:02,1,10,DEN 45,3,0,"Penalty on Ben Hamilton: False Start, 5 yards (no play)",1.930,1.600
1,11:42,1,15,DEN 40,3,0,Kyle Orton pass incomplete deep right intended for Brandon Marshall,1.600,0.710
1,11:37,2,15,DEN 40,3,0,Kyle Orton pass complete short left to Brandon Stokley for -4 yards (tackle by Brandon McDonald),0.710,-0.490
1,11:02,3,19,DEN 36,3,0,"Kyle Orton pass incomplete short right intended for Jabar Gaffney. Penalty on Hank Poteat: Defensive Holding, 5 yards (no play)",-0.490,1.660
1,10:58,1,10,DEN 41,3,0,Correll Buckhalter right guard for 2 yards (tackle by Kenyon Coleman),1.660,1.390
1,10:28,2,8,DEN 43,3,0,Kyle Orton pass incomplete short right intended for Brandon Marshall,1.390,0.700
1,10:23,3,8,DEN 43,3,0,Kyle Orton pass incomplete short right intended for Correll Buckhalter,0.700,-0.520
1,10:20,4,8,DEN 43,3,0,"Brett Kern punts 52 yards, returned by Josh Cribbs for 7 yards (tackle by Wesley Woodyard)",-0.520,0.350
1,10:07,1,10,CLE 12,3,0,Brady Quinn pass incomplete short middle intended for Josh Cribbs (defended by Brian Dawkins),-0.350,-0.780
1,10:02,2,10,CLE 12,3,0,Jerome Harrison middle for 1 yard (tackle by Wesley Woodyard),-0.780,-1.300
1,9:19,3,9,CLE 13,3,0,"Brady Quinn for no gain. Brady Quinn fumbles, recovered by Darrell Reid at CLE-10 (tackle by Joe Thomas)",-1.300,-5.140
1,9:14,1,9,CLE 9,3,0,Knowshon Moreno middle for 4 yards (tackle by Brodney Pool),5.140,5.150
1,8:37,2,5,CLE 5,3,0,Knowshon Moreno right guard for 3 yards (tackle by Abram Elam and D'Qwell Jackson),5.150,4.950
1,8:07,,,,3,0,Timeout #2 by Denver Broncos,0.000,4.950
1,8:07,3,2,CLE 2,3,6,"Kyle Orton pass complete short left to Tony Scheffler for 2 yards, touchdown",4.950,7.000
1,,,,CLE 2,3,7,Matt Prater kicks extra point good,0.000,0.000
1,,,,DEN 30,3,7,"Matt Prater kicks off 70 yards, touchback",0.000,0.280
1,8:03,1,10,CLE 20,3,7,Jamal Lewis right guard for 3 yards (tackle by Andra Davis),0.280,0.140
1,7:28,2,7,CLE 23,3,7,Jamal Lewis left end for 12 yards (tackle by Brian Dawkins),0.140,1.270
1,7:03,1,10,CLE 35,3,7,Brady Quinn right end for 5 yards (tackle by D.J. Williams),1.270,1.400
1,6:30,2,5,CLE 40,3,7,Jamal Lewis middle for 3 yards (tackle by Andra Davis),1.400,1.090
1,5:48,3,2,CLE 43,3,7,Brady Quinn pass complete short left to Mike Furrey for 2 yards (tackle by Brian Dawkins),1.090,1.930
1,5:08,1,10,CLE 45,3,7,Jamal Lewis middle for 1 yard (tackle by Renaldo Hill),1.930,1.520
1,4:31,2,9,CLE 46,3,7,Brady Quinn pass complete deep middle to Braylon Edwards for 20 yards (tackle by Renaldo Hill),1.520,3.310
1,3:55,1,10,DEN 34,3,7,Jamal Lewis middle for 2 yards (tackle by Andra Davis),3.310,3.040
1,3:15,2,8,DEN 32,3,7,Brady Quinn pass complete short left to Jerome Harrison for 2 yards (tackle by Andra Davis),3.040,2.610
1,2:33,3,6,DEN 30,3,7,Brady Quinn pass complete short right to Josh Cribbs for 1 yard (tackle by Champ Bailey),2.610,1.540
1,1:53,4,5,DEN 29,6,7,Phil Dawson 47 yard field goal good,1.540,3.000
1,,,,CLE 30,6,7,"Phil Dawson kicks off 73 yards, returned by Eddie Royal for 22 yards (tackle by Raymond Ventrone)",0.000,0.150
1,1:43,1,10,DEN 19,6,7,Correll Buckhalter left end for 11 yards (tackle by Abram Elam),0.150,0.940
1,1:16,1,10,DEN 30,6,7,Correll Buckhalter right guard for 2 yards (tackle by Kenyon Coleman and Kamerion Wimbley),0.940,0.660
1,0:35,2,8,DEN 32,6,7,Kyle Orton pass complete short middle to Brandon Marshall for 3 yards (tackle by Eric Wright),0.660,0.370
Quarter,Time,Down,ToGo,Location,CLE,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,5,DEN 35,6,7,Kyle Orton pass complete short middle to Brandon Stokley for 37 yards (tackle by Hank Poteat),0.370,3.710
2,14:12,1,10,CLE 28,6,7,Correll Buckhalter middle for 5 yards (tackle by Robaire Smith),3.710,3.840
2,13:29,2,5,CLE 23,6,7,Kyle Orton pass complete short right to Eddie Royal for 7 yards (tackle by Kamerion Wimbley),3.840,4.510
2,13:05,1,10,CLE 16,6,7,Correll Buckhalter middle for 2 yards (tackle by Eric Barton and Ahtyba Rubin),4.510,4.210
2,12:21,2,8,CLE 14,6,7,Kyle Orton pass incomplete short middle intended for Eddie Royal,4.210,3.370
2,12:15,3,8,CLE 14,6,7,Kyle Orton pass complete short right to Brandon Stokley for 9 yards (tackle by Abram Elam),3.370,6.060
2,11:58,1,5,CLE 5,6,7,Kyle Orton pass incomplete short right intended for Eddie Royal,6.060,5.150
2,11:54,,,,6,7,Timeout #3 by Denver Broncos,0.000,5.150
2,11:54,2,5,CLE 5,6,7,Kyle Orton pass incomplete short left intended for Jabar Gaffney (defended by Brandon McDonald),5.150,4.260
2,11:49,3,5,CLE 5,6,7,Kyle Orton pass incomplete short right intended for Tony Scheffler,4.260,3.010
2,11:45,4,5,CLE 5,6,10,Matt Prater 23 yard field goal good,3.010,3.000
2,,,,DEN 30,6,10,"Matt Prater kicks off 73 yards, returned by Josh Cribbs for 21 yards (tackle by Peyton Hillis)",0.000,0.040
2,11:38,1,10,CLE 18,6,10,Jamal Lewis right guard for 6 yards (tackle by D.J. Williams),0.040,0.410
2,11:02,2,4,CLE 24,6,10,Brady Quinn pass complete short middle to Braylon Edwards for 5 yards (tackle by Mario Haggan and Brian Dawkins),0.410,0.870
2,10:24,1,10,CLE 29,6,10,Jerome Harrison middle for 5 yards (tackle by Andra Davis and Brian Dawkins),0.870,1.000
2,9:47,2,5,CLE 34,6,10,"Josh Cribbs left end for 4 yards (tackle by Elvis Dumervil). Penalty on Elvis Dumervil: Face Mask (15 Yards), 15 yards",1.000,2.460
2,9:19,1,10,DEN 47,6,10,Brady Quinn pass incomplete short right intended for Steve Heiden,2.460,1.910
2,9:15,2,10,DEN 47,6,10,Jamal Lewis middle for -1 yards (tackle by Andra Davis),1.910,1.090
2,8:34,3,11,DEN 48,6,10,Brady Quinn pass complete short right to Josh Cribbs for 5 yards (tackle by Champ Bailey),1.090,0.400
2,8:07,4,6,DEN 43,6,10,"Dave Zastudil punts 43 yards, touchback",0.400,-0.280
2,7:55,1,10,DEN 20,6,10,Knowshon Moreno right guard for 12 yards (tackle by Abram Elam),0.280,1.070
2,7:22,1,10,DEN 32,6,10,Knowshon Moreno left tackle for -2 yards (tackle by Abram Elam),1.070,0.260
2,6:45,2,12,DEN 30,6,10,Kyle Orton pass incomplete short left intended for Eddie Royal,0.260,-0.430
2,6:37,3,12,DEN 30,6,10,Kyle Orton pass incomplete deep middle intended for Jabar Gaffney,-0.430,-1.370
2,6:30,4,12,DEN 30,6,10,"Brett Kern punts 57 yards, returned by Josh Cribbs for 17 yards (tackle by Darrell Reid)",-1.370,-0.940
2,6:17,1,10,CLE 30,6,10,Jamal Lewis middle for 1 yard (tackle by Renaldo Hill),0.940,0.530
2,5:39,2,9,CLE 31,6,10,Brady Quinn pass complete short left to Jamal Lewis for 8 yards (tackle by Elvis Dumervil),0.530,0.890
2,4:53,3,1,CLE 39,6,10,Jamal Lewis left guard for no gain (tackle by Marcus Thomas and Andra Davis),0.890,-0.780
2,4:08,4,1,CLE 39,6,10,Dave Zastudil punts 56 yards,-0.780,0.380
2,4:00,1,10,DEN 6,6,10,Knowshon Moreno right guard for 4 yards (tackle by Kamerion Wimbley and Kenyon Coleman),-0.380,-0.490
2,3:23,2,6,DEN 10,6,10,Knowshon Moreno left end for 5 yards (tackle by Eric Barton),-0.490,-0.370
2,2:42,3,1,DEN 15,6,10,Knowshon Moreno right tackle for 1 yard (tackle by D'Qwell Jackson),-0.370,-0.140
2,2:05,1,10,DEN 16,6,10,Correll Buckhalter right tackle for 4 yards (tackle by Corey Williams),-0.140,0.010
2,1:59,2,6,DEN 20,6,10,Kyle Orton pass incomplete short right intended for Correll Buckhalter,0.010,-0.820
2,1:56,3,6,DEN 20,6,10,Kyle Orton pass complete short right to Eddie Royal for 11 yards (tackle by Eric Wright),-0.820,1.000
2,1:50,1,10,DEN 31,6,10,Kyle Orton pass incomplete short left intended for Eddie Royal,1.000,0.460
2,1:42,2,10,DEN 31,6,10,Kyle Orton pass incomplete short right intended for Eddie Royal,0.460,-0.230
2,1:37,3,10,DEN 31,6,10,Kyle Orton pass complete short left to Brandon Stokley for 18 yards,-0.230,2.190
2,1:32,1,10,DEN 49,6,10,Kyle Orton pass complete short left to Eddie Royal for 2 yards (tackle by Brandon McDonald),2.190,1.920
2,0:59,2,8,CLE 49,6,10,"Kyle Orton pass incomplete deep left intended for Brandon Stokley (defended by Hank Poteat). Penalty on Hank Poteat: Defensive Pass Interfere, 18 yards (no play)",1.920,3.510
