Unnamed: 0,CLE,DEN
First Downs,11,25
Rush-Yds-TDs,21-54-0,37-186-2
Cmp-Att-Yd-TD-INT,18-31-161-0-1,19-37-263-1-0
Sacked-Yards,4-15,0-0
Net Pass Yards,146,263
Total Yards,200,449
Fumbles-Lost,2-2,1-1
Turnovers,3,1
Penalties-Yards,4-43,5-50
Third Down Conv.,3-14,8-15
Fourth Down Conv.,0-0,0-1
Time of Possession,27:16,32:44
