Quarter,Time,Tm,Detail,CLE,DEN
1.0,12:22,Browns,Phil Dawson 22 yard field goal,3,0
,8:03,Broncos,Tony Scheffler 2 yard pass from Kyle Orton (Matt Prater kick),3,7
,1:49,Browns,Phil Dawson 47 yard field goal,6,7
2.0,11:42,Broncos,Matt Prater 23 yard field goal,6,10
3.0,10:39,Broncos,Matt Prater 38 yard field goal,6,13
4.0,12:18,Broncos,Peyton Hillis 2 yard rush (Matt Prater kick),6,20
,8:24,Broncos,Correll Buckhalter 45 yard rush (Matt Prater kick),6,27
