Unnamed: 0,BAL,TEN
First Downs,19,19
Rush-Yds-TDs,21-50-0,38-162-3
Cmp-Att-Yd-TD-INT,29-47-373-3-2,13-25-211-0-1
Sacked-Yards,1-2,2-6
Net Pass Yards,371,205
Total Yards,421,367
Fumbles-Lost,0-0,2-0
Turnovers,2,1
Penalties-Yards,8-91,3-20
Third Down Conv.,7-16,5-15
Fourth Down Conv.,1-1,0-1
Time of Possession,29:16,30:44
