Unnamed: 0,SEA,SFO
First Downs,16,16
Rush-Yds-TDs,34-157-0,18-64-0
Cmp-Att-Yd-TD-INT,15-22-236-1-0,16-29-121-0-2
Sacked-Yards,4-14,4-21
Net Pass Yards,222,100
Total Yards,379,164
Fumbles-Lost,3-0,1-1
Turnovers,0,3
Penalties-Yards,14-105,3-20
Third Down Conv.,5-14,4-11
Fourth Down Conv.,0-1,0-0
Time of Possession,35:19,24:41
