Unnamed: 0,HOU,CLE
First Downs,17,21
Rush-Yds-TDs,18-77-0,33-148-1
Cmp-Att-Yd-TD-INT,22-36-256-2-2,24-35-253-2-1
Sacked-Yards,2-19,1-4
Net Pass Yards,237,249
Total Yards,314,397
Fumbles-Lost,1-1,2-0
Turnovers,3,1
Penalties-Yards,5-26,7-71
Third Down Conv.,2-10,3-13
Fourth Down Conv.,0-1,2-3
Time of Possession,24:37,35:23
