0,1
Game Info,Game Info
Won Toss,Texans
Roof,outdoors
Surface,grass
Duration,2:56
Attendance,72730
Weather,"41 degrees, relative humidity 49%, wind 14 mph"
Vegas Line,Cleveland Browns -3.0
Over/Under,52.0 (under)
