Unnamed: 0,DEN,BUF
First Downs,19,18
Rush-Yds-TDs,38-122-0,26-192-2
Cmp-Att-Yd-TD-INT,24-29-193-2-0,15-26-177-1-2
Sacked-Yards,4-15,0-0
Net Pass Yards,178,177
Total Yards,300,369
Fumbles-Lost,1-1,3-2
Turnovers,1,4
Penalties-Yards,10-61,5-63
Third Down Conv.,8-19,3-8
Fourth Down Conv.,1-1,0-1
Time of Possession,37:21,22:39
